Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: SAMI ALIŠAN, Predlagatelj: SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE, HRVATSKA ROMSKA DEMOKRATSKA STRANKA - HRDS;Kandidat: NADA BAJIÆ, Predlagatelj: HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS;Kandidat: BAJRO BAJRIÆ, Predlagatelj: UDRUGA ROMI ZA ROME HRVATSKE;"Kandidat: BOJAN BALOG, Predlagatelj: UDRUGA ""ZA BOLJITAK"" ROMA GORIÈAN";Kandidat: ŽELJKO BALOG, Predlagatelj: KROVNA ZAJEDNICA BAJAŠA HRVATSKE;Kandidat: ŽELJKO BOGDAN, Predlagatelj: UDRUGA ROMA VALPOVŠTINE;Kandidat: SLAVKO BURDA, Predlagatelj: SAVEZ RUSINA I UKRAJINACA REPUBLIKE HRVATSKE;Kandidat: VIKTOR FILIMA, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: ŽELJKO GAÆA, Predlagatelj: SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS, PRIMORSKO GORANSKI SAVEZ - PGS;Kandidat: SEAD HASANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: MILAN IGNAC, Predlagatelj: UDRUGA ROMA BAJAŠA MEÐIMURSKE ŽUPANIJE;"Kandidat: ZVONKO KALANJOŠ, Predlagatelj: ""DRUŠTVO UÈITELJA I ROMSKIH POMAGAÈA-IZVOR""";"Kandidat: ZVONKO KOSTELNIK, prof., Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""JOAKIM HARDI"" PETROVCI";"Kandidat: DUŠKO KOSTIÆ, Predlagatelj: UDRUGA ROMSKOG PRIJATELJSTVA ""LUNA""";Kandidat: NAZIF MEMEDI, Predlagatelj: MREŽA ROMSKIH UDRUGA HRVATSKE MRUH;Kandidat: TOFKO MOMIROVIÆ-DEDIÆ, Predlagatelj: AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH;Kandidat: VALTER NEUGEBAUER, Predlagatelj: HRVATSKA SELJAÈKA STRANKA - HSS;Kandidat: VESNA PICHLER, Predlagatelj: SAVEZ NIJEMACA I AUSTRIJANACA HRVATSKE, CENTRALA-OSIJEK;"Kandidat: ZVONKO RAC, Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""OSIF KOSTELNIK"" VUKOVAR";Kandidat: NUSRET SEFEROVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: RENATA TRISCHLER, dipl.oec., Predlagatelj: NJEMAÈKA NARODNOSNA ZAJEDNICA - ZEMALJSKA UDRUGA PODUNAVSKIH ŠVABA U HRVATSKOJ - OSIJEK;"Kandidat: JOSIP ZAVACKI, Predlagatelj: POLJSKA KULTURNA UDRUGA ""MIKOLAJ KOPERNIK""";;;;;
2;KLOŠTAR PODRAVSKI  ;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;KONÈANICA  ;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;KOPRIVNIÈKI BREGI  ;4;13;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;
2;KOPRIVNIÈKI IVANEC  ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;LEGRAD  ;6;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;
2;MOLVE  ;5;3;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;NOVA RAÈA  ;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;NOVIGRAD PODRAVSKI  ;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;NOVO VIRJE  ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;PETERANEC  ;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;PODRAVSKE SESVETE  ;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;PRESEKA  ;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;RAKOVEC  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;RASINJA  ;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;ROVIŠÆE  ;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;SEVERIN  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;SIRAÈ  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;SOKOLOVAC  ;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;SVETI IVAN ŽABNO  ;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;SVETI PETAR OREHOVEC  ;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;ŠANDROVAC  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;ŠTEFANJE  ;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;VELIKA PISANICA  ;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;VELIKA TRNOVITICA  ;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;VELIKI GRÐEVAC  ;11;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;VELIKO TROJSTVO  ;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;VIRJE  ;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;ZRINSKI TOPOLOVAC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
3;ÈAKOVEC  ;30;237;47;46;43;3;0;3;34;0;1;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;;
3;DONJA STUBICA  ;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
3;IVANEC  ;34;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
3;KLANJEC  ;10;3;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;
3;KRAPINA  ;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
