Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: BRANKO OZIMEC                                        ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: GORAN ROHAÈEK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: JULIJANA ILÈIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: BOŽO RENDIÆ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: dr.sc. IVAN ÈEHOK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DARKO PETRIÈIÆ                                      ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: NURIJA AHMETOVIÆ, prof.;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: RUDOLF FORKO;HRVATSKI ZBOR - ZBOR, Nositelj liste: VINKO KALINIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: mr.sc. VLADIMIR MESARIÆ;MOJE MALO MEÐIMURJE - 3 M, Nositelj liste: ANTUN VARGA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: FRANJO GOLENKO;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŽUŽUL;ZELENA LISTA, Nositelj liste: STANKO BEZEK                                                         ;;
PETROVSKO  ;11;2313;1674;1674;1628;46;3;19;4;5;2;9;440;3;2;584;1;65;9;4;16;60;4;4;1;2;0;368;8;12;3;;
PODTUREN  ;6;3617;2196;2196;2165;31;3;21;8;7;3;7;511;5;3;273;6;142;15;33;186;48;2;0;2;2;5;867;5;9;2;;
PRIBISLAVEC  ;2;2187;1543;1543;1528;15;2;9;6;1;0;4;214;4;3;301;3;71;6;37;20;32;1;0;0;1;7;787;9;9;1;;
RADOBOJ  ;9;2940;2165;2165;2126;39;3;17;5;10;2;2;829;1;0;519;4;72;6;7;16;79;2;2;1;2;0;527;4;13;3;;
SELNICA  ;7;2764;1514;1514;1491;23;2;1;1;2;3;7;271;3;4;346;4;185;9;0;19;83;2;0;1;18;5;516;4;4;1;;
SRAÈINEC  ;4;4016;2878;2878;2841;37;3;3;8;7;1;2;387;8;3;1561;2;185;14;5;44;53;3;0;0;2;0;538;3;7;2;;
STRAHONINEC  ;3;2331;1716;1715;1688;27;1;10;3;6;1;7;203;2;1;375;4;75;9;8;25;43;3;0;0;3;7;876;9;15;2;;
STUBIÈKE TOPLICE  ;4;2554;1612;1608;1569;39;0;16;14;112;0;0;361;0;3;95;2;150;19;3;30;83;9;3;0;2;1;637;1;21;7;;
SVETA MARIJA  ;3;2048;1424;1423;1407;16;0;12;4;4;1;3;222;6;3;276;2;156;7;4;39;57;3;1;0;0;9;573;4;14;7;;
SVETI ÐURÐ  ;10;3311;2311;2311;2282;29;3;30;3;3;1;5;409;3;20;899;3;227;2;2;57;37;1;1;2;1;4;553;2;10;4;;
SVETI ILIJA  ;8;2898;2224;2224;2200;24;1;11;3;8;1;5;587;5;1;877;1;228;10;5;16;42;0;1;0;1;0;382;6;6;3;;
SVETI JURAJ NA BREGU  ;9;4409;2836;2836;2793;43;3;28;7;13;1;8;391;6;3;597;7;256;20;6;48;65;4;2;3;5;8;1284;8;17;3;;
SVETI KRIŽ ZAÈRETJE  ;14;5215;3265;3265;3188;77;4;33;12;24;3;11;1123;10;5;189;7;283;27;10;38;153;11;9;3;1;3;1174;11;32;12;;
SVETI MARTIN NA MURI  ;3;2520;1488;1488;1465;23;0;5;1;3;1;5;350;11;5;253;5;190;10;5;11;51;1;1;0;1;4;536;5;5;6;;
ŠENKOVEC  ;3;2425;1772;1772;1759;13;1;5;6;7;0;0;276;5;3;398;4;124;9;4;26;68;3;0;1;6;7;789;1;16;0;;
ŠTRIGOVA  ;7;2641;1524;1524;1496;28;1;7;5;1;2;1;254;8;3;693;4;51;3;2;17;29;0;0;1;8;2;389;4;7;4;;
TRNOVEC BARTOLOVEÈKI  ;7;5956;4120;4118;4038;80;2;26;8;10;5;12;654;14;1;1552;3;554;20;6;52;63;8;2;2;6;0;997;8;28;5;;
TUHELJ  ;10;1852;1248;1248;1216;32;5;18;3;9;2;6;604;4;0;34;4;118;11;1;12;42;4;0;0;1;1;324;4;6;3;;
VELIKI BUKOVEC  ;3;1277;950;950;940;10;0;12;1;0;0;1;212;2;2;290;1;112;4;1;85;17;0;2;0;0;1;191;2;4;0;;
VELIKO TRGOVIŠÆE  ;11;4198;2690;2690;2623;67;2;63;16;18;5;6;975;8;5;108;9;265;42;6;44;173;24;3;1;3;1;804;6;25;11;;
VIDOVEC  ;6;4481;3108;3107;3045;62;12;38;6;12;5;5;521;12;6;1172;8;531;17;8;30;91;1;0;2;0;1;546;5;13;3;;
VINICA  ;7;2993;2223;2223;2185;38;2;8;4;7;1;5;472;4;6;1089;3;228;5;7;21;42;3;0;1;2;0;262;5;6;2;;
VISOKO  ;7;1315;1004;1004;992;12;0;10;1;3;0;2;513;4;2;168;6;126;2;1;13;18;1;0;1;2;0;115;0;3;1;;
VRATIŠINEC  ;3;1784;1166;1166;1152;14;0;5;7;3;2;5;165;4;4;272;3;65;5;2;19;33;1;0;0;1;2;544;1;8;1;;
ZAGORSKA SELA  ;7;987;627;627;611;16;0;14;3;3;2;2;190;3;0;59;2;114;5;2;8;28;2;0;2;2;0;162;5;3;0;;
ZLATAR-BISTRICA  ;6;2304;1555;1555;1512;43;2;30;4;4;1;2;331;3;3;169;8;196;14;0;17;113;4;2;1;4;1;569;7;21;6;;
UKUPNO;798;366005;248080;248015;244056;3959;248;1757;647;920;211;513;57969;538;324;61977;505;24322;1331;567;4058;8630;492;143;121;354;330;75246;581;1794;478;;
