Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  BRANKO OZIMEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MIROSLAV RAJH  ;AKCIJA MLADIH - AM  , Nositelj liste:  VOJMIR SABOLIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  RUDOLF FORKO   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  IVAN MARTAN ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU  , Nositelj liste:  BOŽO RENDIÆ   ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  dr.sc. ZVONIMIR SABATI ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS , ZAGORSKA DEMOKRATSKA STRANKA - ZDS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ   ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ROBERT ŠPOLJAR, dipl.ing.sig.;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  LADISLAV ILÈIÆ  ;MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS  , Nositelj liste:  ŽELJKO PAVLIC  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  DEAN GOLUBIÆ, dipl.krim. ;NEOVISNA LISTA  , Nositelj liste:  IVAN FIOLIÆ FIO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ   ;, NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  RADIMIR ÈAÈIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  FRANJO GOLENKO ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGORSKA STRANKA - ZS  , Nositelj liste:  MILJENKO JERNEIÆ  ;ZELENA LISTA  , Nositelj liste:  STANKO BEZEK  ;ZELENA STRANKA - ZS  , Nositelj liste:  TIHOMIR CAMPANELLO  ;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;2;ÈEHOVEC;DOM KULTURE;ÈEHOVEC BB;595;387;387;384;3;0;0;1;0;0;2;1;8;2;2;61;1;0;18;9;4;4;0;48;15;12;1;1;2;1;190;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;3;ÈUKOVEC;DOM KULTURE;ÈUKOVEC BB;285;184;184;181;3;0;0;0;0;2;1;0;5;1;0;29;0;2;0;2;3;4;5;16;0;6;0;0;4;0;100;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;4;DRAŠKOVEC;DOM KULTURE;BRAÆE RADIÆA 6;564;380;380;375;5;0;0;1;2;4;3;1;8;1;1;76;0;1;8;1;3;2;2;58;7;8;0;0;0;0;188;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;5;HEMUŠEVEC;DOM KULTURE;TRG MALE GOSPE 5;242;176;176;174;2;1;0;0;0;2;0;0;4;0;2;17;1;0;7;3;1;0;0;28;4;1;0;1;0;0;102;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;6;OPOROVEC;DOM KULTURE;OPOROVEC BB;358;224;224;218;6;0;0;1;3;1;1;0;1;2;3;41;0;0;4;2;5;2;0;26;3;3;0;0;2;0;113;0;0;0;4;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;7;OTOK;DOM KULTURE;OTOK BB;275;186;186;181;5;0;0;1;1;1;2;1;4;0;0;18;0;1;1;1;2;2;0;51;0;2;0;0;0;0;93;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;8;PRELOG;SREDNJA ŠKOLA;ÈAKOVEÈKA 1;744;476;476;466;10;0;0;2;3;1;5;0;7;2;3;62;1;2;8;13;3;0;1;63;19;14;0;1;3;0;249;1;0;0;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;9;PRELOG;DOM KULTURE;TRG SLOBODE 1;694;487;487;474;13;0;1;0;0;0;1;0;10;3;1;70;0;3;8;12;8;1;1;65;27;6;0;0;8;0;247;0;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;10;PRELOG;OSNOVNA ŠKOLA - UÈIONICA MATEMATIKA 2;TRG BANA JELAÈIÆA 2;667;403;403;396;7;1;2;4;1;0;4;3;5;1;3;44;0;1;13;8;5;6;2;73;21;5;0;0;2;0;188;2;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;11;PRELOG;OSNOVNA ŠKOLA - UÈIONICA RAZREDNA NASTAVA 2;TRG BANA JELAÈIÆA 2;768;513;513;508;5;0;0;1;1;1;2;0;9;1;1;41;1;2;9;9;7;3;2;98;25;16;1;0;5;0;271;2;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;PRELOG;12;PRELOG;OSNOVNA ŠKOLA - UÈIONICA RAZREDNA NASTAVA 3;TRG BANA JELAÈIÆA 2;780;503;503;498;5;0;1;0;3;3;5;0;3;3;0;42;1;1;17;12;8;3;1;75;17;5;1;3;4;1;285;3;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;1;VARAŽDIN - 1;GRADSKA VIJEÆNICA;TRG KRALJA TOMISLAVA 1;594;399;399;391;8;0;0;2;1;2;1;0;11;0;1;74;1;2;7;17;3;3;1;33;34;0;0;1;15;0;174;3;0;1;2;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;2;VARAŽDIN - 2;VATROGASNI DOM - BIRALIŠTE 1;TRENKOVA 44;398;268;268;265;3;0;0;2;1;2;0;0;17;0;0;14;0;0;0;17;0;1;1;28;7;0;0;1;5;0;167;1;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;3;VARAŽDIN - 3;VATROGASNI DOM - BIRALIŠTE II;TRENKOVA 44;404;266;266;260;6;0;0;0;0;1;4;1;2;1;1;30;0;0;1;4;3;2;0;19;21;2;0;1;1;1;164;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;4;VARAŽDIN - 4;URED DRŽAVNE UPRAVE (VODOTORANJ);STANKA VRAZA 4;617;400;399;393;6;0;1;0;2;6;0;0;11;0;2;57;0;0;5;3;3;1;1;33;25;3;0;0;9;0;229;0;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;5;VARAŽDIN - 5;II. MJESNI ODBOR - BIR.1;KOLODVORSKA 3;381;269;269;265;4;0;1;0;0;0;0;1;2;0;1;26;0;1;4;10;4;1;0;25;13;0;0;0;6;0;167;0;0;0;2;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;6;VARAŽDIN - 6;II. MJESNI ODBOR - BIR.2;KOLODVORSKA 3;394;275;275;273;2;0;0;0;1;5;1;0;3;1;0;34;0;1;2;12;0;2;2;34;8;0;0;0;7;0;156;2;1;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;7;VARAŽDIN - 7;DOM ŽELJEZNIÈARA - BIR.1;VARAŽDIN;407;282;282;277;5;0;0;1;1;4;0;1;5;3;0;38;0;0;2;14;3;6;5;20;9;0;0;0;3;0;158;1;0;2;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;8;VARAŽDIN - 8;HŽ-ODRŽAVANJE PRUGA;MATICE HRVATSKE;824;601;601;596;5;0;0;2;4;11;3;0;11;3;0;60;0;4;10;11;7;3;1;72;17;0;0;2;2;0;370;1;0;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;9;VARAŽDIN - 9;DOM ŽELJEZNIÈARA - BIR.2;VARAŽDIN;517;359;359;353;6;0;1;0;5;2;1;0;5;2;0;40;0;0;2;12;3;0;4;27;14;1;0;0;4;0;226;1;0;0;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;10;VARAŽDIN - 10;I. OSNOVNA ŠKOLA;VARAŽDIN;377;282;282;280;2;0;0;0;0;5;0;1;7;0;0;26;0;0;2;9;4;1;1;16;16;0;0;0;2;0;186;0;0;1;2;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;11;VARAŽDIN - 11;III. MJESNI ODBOR - BIR.1;ZAGREBAÈKA 17;726;554;554;544;10;0;2;4;0;4;4;2;7;1;0;63;0;0;6;12;5;4;1;46;24;1;0;0;9;0;342;3;0;1;2;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;12;VARAŽDIN - 12;III. MJESNI ODBOR - BIR.2;ZAGREBAÈKA 17;1.416;961;961;950;11;0;0;2;5;6;8;0;16;2;0;107;2;1;17;39;9;6;4;100;44;1;1;1;6;0;562;3;0;3;4;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;13;VARAŽDIN - 13;DJEÈJI VRTIÆ - BIR.1;ALEJA KRALJA ZVONIMIRA BB;1.194;832;832;822;10;0;1;2;7;14;3;0;16;4;2;65;2;0;12;12;12;4;4;89;31;1;1;1;17;1;508;4;0;2;3;4;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;14;VARAŽDIN - 14;DJEÈJI VRTIÆ - BIR.2;ALEJA KRALJA ZVONIMIRA BB;1.203;773;772;766;6;0;1;0;4;10;1;0;25;2;0;56;0;0;7;26;13;5;2;68;40;1;0;1;6;0;496;0;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;15;VARAŽDIN - 15;DJEÈJI VRTIÆ - BIR.1;KOZARÈEVA BB;1.048;735;735;727;8;0;2;2;0;13;0;2;25;1;2;75;0;0;11;29;8;0;1;83;21;6;0;1;6;1;434;2;0;1;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;16;VARAŽDIN - 16;DJEÈJI VRTIÆ - BIR.2;KOZARÈEVA BB;806;567;567;557;10;0;1;0;2;8;2;0;15;2;1;42;0;0;7;20;8;1;1;56;20;1;0;0;5;0;360;1;0;1;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;17;VARAŽDIN - 17;IV. MJESNI ODBOR;TRAKOŠÆANSKA 24;478;342;342;338;4;0;2;0;1;4;0;0;7;0;0;32;1;1;3;6;4;3;1;37;7;1;0;1;7;1;217;0;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;18;VARAŽDIN - 18;KUÆNI SAVJET BRAÆE RADIÆ;BRAÆE RADIÆ 20;481;326;326;324;2;0;1;1;5;3;0;0;13;1;0;35;0;0;1;3;7;3;1;29;15;2;0;1;5;1;193;0;0;1;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;19;VARAŽDIN - 19;ZDRAVSTVENA AMBULANTA;MALI PLAC 1A;1.130;777;777;767;10;0;0;1;3;10;3;0;20;4;1;82;1;0;5;30;15;3;4;66;33;0;0;2;5;0;474;3;0;0;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;20;VARAŽDIN - 20;ŽUPANIJSKI SUD - BIR.1;BRAÆE RADIÆ 2;713;507;507;500;7;1;1;2;5;6;2;0;10;2;1;41;0;2;6;8;13;2;1;47;23;0;0;0;3;0;321;0;0;1;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;21;VARAŽDIN - 21;ŽUPANIJSKI SUD - BIR.2;BRAÆE RADIÆ 2;574;389;389;383;6;0;0;0;0;2;1;1;6;3;1;32;0;0;5;17;6;2;3;49;11;0;0;1;9;1;231;0;0;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;22;VARAŽDIN - 22;"POSLOVNA ZGRADA ""ELEKTRA""";KRATKA;652;483;483;477;6;1;0;1;2;1;0;0;16;4;0;49;0;2;4;16;6;2;1;55;22;0;0;1;10;0;279;2;0;0;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;23;VARAŽDIN - 23;KIRURGIJA, ÈEKAONICA;VARAŽDIN;623;410;410;409;1;0;0;1;2;4;0;0;8;0;0;53;1;1;2;15;3;1;3;32;32;3;0;0;6;0;240;0;0;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;24;VARAŽDIN - 24;KIRURGIJA, DVORANA ZA SASTANKE;VARAŽDIN;1.532;1.082;1.082;1.066;16;0;0;3;4;8;6;0;28;7;0;100;1;0;9;40;13;7;5;95;55;2;1;2;8;0;658;2;1;2;6;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;25;VARAŽDIN - 25;VI. OSNOVNA ŠKOLA - BIR.1;D. DEMETRA 13;1.466;1.027;1.027;1.014;13;0;0;5;4;11;1;3;23;0;0;121;0;1;17;53;15;8;5;111;44;1;0;1;11;0;571;2;0;4;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;26;VARAŽDIN - 26;VI. OSNOVNA ŠKOLA - BIR.2;D. DEMETRA 13;753;531;531;524;7;0;1;1;3;4;0;1;12;2;0;49;0;0;2;4;10;4;3;46;20;3;1;1;6;0;342;3;0;0;3;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;27;VARAŽDIN - 27;VI. OSNOVNA ŠKOLA - BIR.3;D. DEMETRA 13;1.150;895;895;881;14;0;1;2;2;14;2;3;24;5;3;115;0;0;9;32;10;4;1;73;38;0;0;0;8;0;529;4;0;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;28;VARAŽDIN - 28;V. MJESNI ODBOR - BIR.1;ŠTEROVA BB;1.389;944;944;936;8;0;3;7;8;25;3;0;21;5;1;92;2;0;16;28;5;8;1;110;48;0;0;1;5;0;535;0;0;8;1;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;29;VARAŽDIN - 29;V. MJESNI ODBOR - BIR.2;ŠTEROVA BB;367;218;217;214;3;0;0;2;0;3;0;0;9;0;1;14;1;1;4;5;1;1;0;22;17;1;0;1;2;0;128;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;30;VARAŽDIN - 30;DOM UMIROVLJENIKA;ZAVOJNA BB;856;555;555;548;7;1;1;2;7;2;3;0;17;2;0;60;1;1;9;15;4;5;3;62;33;1;0;1;4;0;307;1;0;3;2;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;31;VARAŽDIN - 31;IV. OSNOVNA ŠKOLA;M. A. RELJKOVIÆA 36;1.200;861;861;857;4;1;1;2;2;13;3;2;18;2;2;85;1;1;12;24;8;3;2;77;49;0;0;0;6;1;528;6;0;3;2;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;32;VARAŽDIN - 32;DJEÈJI VRTIÆ;VLADIMIRA GORTANA 19;1.951;1.397;1.397;1.376;21;1;4;2;6;10;7;1;35;5;4;150;2;1;18;44;12;20;6;112;80;0;0;5;21;0;816;1;0;3;6;4;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;33;VARAŽDIN - 33;"VI. MJESNI ODBOR ""BANFICA""";NIKOLE TESLE 20;648;468;468;465;3;0;0;2;2;4;3;0;15;0;0;61;0;0;3;16;11;2;1;35;11;0;0;1;2;0;289;3;0;2;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;34;VARAŽDIN - 34;DJEÈJI VRTIÆ  - I;KOPRIVNIÈKA 5;1.243;845;845;830;15;0;0;0;3;6;10;1;23;4;1;72;0;1;11;25;7;5;4;86;24;0;0;2;12;0;526;0;0;2;4;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;35;VARAŽDIN - 35;DJEÈJI VRTIÆ - II;KOPRIVNIÈKA 5;789;584;584;581;3;2;1;2;4;2;2;1;11;1;1;44;0;1;15;16;4;5;2;63;15;1;0;1;12;0;366;1;0;2;4;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;36;VARAŽDIN - 36;"VI MJESNI ODBOR ""BANFICA"" (NOVE PROSTORIJE) - I";DRAVSKA 7B;1.464;1.030;1.030;1.022;8;0;1;4;3;12;2;1;18;2;0;76;0;0;10;34;12;11;4;99;27;3;0;0;17;0;680;0;0;3;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;37;VARAŽDIN - 37;"VI MJESNI ODBOR ""BANFICA"" (NOVE PROSTORIJE) - II";DRAVSKA 7B;1.137;718;718;710;8;0;0;3;3;5;4;0;15;2;2;91;0;1;12;16;9;9;0;71;28;5;1;1;9;0;418;0;0;1;3;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;38;VARAŽDIN - 38;III. OSNOVNA ŠKOLA;TRG IVANA PERKOVCA 35;696;476;476;470;6;0;0;1;4;6;3;0;6;2;0;59;1;1;17;18;12;1;3;38;21;4;0;1;5;1;261;2;0;1;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;39;VARAŽDIN - 39;DRUŠTVENI DOM;M. KOLARIÆA 23;1.583;1.130;1.126;1.110;16;0;0;4;6;5;5;1;28;0;3;130;0;1;21;37;15;4;5;91;33;2;0;2;10;0;694;2;0;6;2;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;40;HRAŠÆICA;MJESNI ODBOR-SPORTSKI CENTAR;HRAŠÆICA;976;665;665;659;6;0;3;1;8;7;3;0;12;5;4;94;2;0;10;32;8;8;0;61;22;0;1;0;5;0;369;2;0;1;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;41;JALKOVEC;DRUŠTVENI DOM;JALKOVEC;1.116;693;693;680;13;0;0;2;6;5;6;0;16;1;2;72;0;1;16;36;3;0;0;64;20;3;0;3;7;0;412;3;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;42;POLJANA BIŠKUPEÈKA;NOVI DRUŠTVENI DOM;VARAŽDINSKA BB;400;263;262;254;8;0;1;2;1;2;1;1;2;0;0;44;0;0;18;7;1;1;2;16;8;2;0;2;3;1;134;2;1;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;43;ÈRNEC BIŠKUPEÈKI;VATROGASNI DOM;ÈRNEC BIŠKUPEÈKI;580;373;373;366;7;1;1;2;6;5;0;0;3;0;2;57;0;1;10;17;5;2;0;26;15;0;0;3;6;0;202;1;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;44;GOJANEC;VATROGASNI DOM;GOJANEC;505;372;372;368;4;0;0;2;0;2;5;0;8;1;2;53;0;0;8;13;7;1;1;31;16;1;0;0;2;0;213;0;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;45;KUÆAN MAROF;DRUŠTVENI DOM;KUÆAN MAROF;1.203;877;877;865;12;0;0;2;3;8;6;3;16;1;2;100;0;0;20;21;8;6;3;73;25;1;1;0;1;1;559;2;0;0;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;46;GORNJI KUÆAN;DRUŠTVENI DOM;GORNJI KUÆAN;925;671;671;657;14;0;1;0;5;11;2;1;15;0;4;79;2;3;35;18;10;3;3;57;16;3;0;4;5;0;376;0;0;1;2;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;47;DONJI KUÆAN;DRUŠTVENI DOM;DONJI KUÆAN;648;438;438;435;3;0;0;1;2;10;3;0;5;1;0;43;0;1;18;16;7;1;2;43;10;1;1;0;7;1;258;1;0;0;3;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDIN;48;ZBELAVA;DRUŠTVENI DOM;ZBELAVA;414;297;297;293;4;1;0;0;0;3;2;0;11;0;2;28;0;0;15;13;6;0;1;22;4;1;0;2;1;0;177;0;0;3;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;1;VARAŽDINSKE TOPLICE - 1;ZGRADA GRADA VARAŽDINSKIH TOPLICA;M. TITA 4;412;301;301;298;3;1;0;0;1;1;1;1;4;2;1;51;0;1;1;27;1;1;2;42;9;0;0;0;4;0;144;0;0;1;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;2;VARAŽDINSKE TOPLICE;OSNOVNA ŠKOLA;MARTINA PUŠTEKA 1;521;372;372;369;3;0;0;0;2;8;0;0;6;3;1;63;0;0;7;57;6;3;3;48;13;0;0;1;9;1;134;2;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;3;VARAŽDINSKE TOPLICE;"DJEÈJI VRTIÆ ""TRATINÈICA""";BRAÆE RADIÆ 14;659;437;437;434;3;1;0;1;1;4;0;0;8;1;0;62;0;0;5;47;7;3;1;55;7;2;0;0;7;1;221;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;4;VRTLINOVEC;VATROGASNI DOM;VRTLINOVEC;320;217;217;212;5;2;3;0;2;8;4;0;5;0;2;20;1;0;2;39;2;0;1;18;0;0;0;1;0;0;101;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;5;ŠKARNIK;KUÆA IVICE RATKOVIÆA;ŠKARNIK 14;72;57;57;55;2;0;0;0;0;1;0;0;1;1;0;0;0;0;0;14;1;0;0;2;1;0;0;1;0;0;33;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;6;PIŠÆANOVEC;KUÆA ÐURE SVETECA;PIŠÆANOVEC BB;79;45;45;45;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;22;0;0;0;4;1;0;0;1;0;0;14;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;7;MARTINKOVEC;KUÆA MARKA GAJSKOG;MARTINKOVEC 18;70;47;47;47;0;0;0;0;0;2;0;0;0;0;0;13;0;0;2;4;0;0;0;7;1;0;0;0;0;0;18;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;8;JARKI HORVATIÆEVI;KUÆA STANKA KRIŽANIÆA;JARKI HORVATIÆEVI 16;55;28;28;28;0;0;0;0;1;1;1;0;1;0;0;5;0;0;1;13;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;9;JALŠEVEC;VATROGASNI DOM;JALŠEVEC;279;215;215;208;7;0;0;1;4;1;1;0;3;0;0;31;0;3;4;8;7;0;1;17;2;2;0;0;3;0;120;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;10;SVIBOVEC;OSNOVNA ŠKOLA;SVIBOVEC;279;185;185;182;3;0;0;0;1;5;0;1;1;4;2;33;0;0;9;8;1;0;0;20;3;1;1;1;0;1;89;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;11;LESKOVEC TOPLIÈKI;VATROGASNI DOM;LESKOVEC TOPLIÈKI;400;286;286;281;5;0;0;2;0;2;1;2;0;0;2;45;0;0;10;24;4;1;3;17;4;1;1;0;0;0;158;0;0;1;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;12;DRENOVEC;PODRUÈNA ŠKOLA;DRENOVEC;324;199;199;187;12;0;0;0;3;5;0;1;3;0;0;44;0;2;4;10;6;0;0;11;6;1;0;0;0;0;88;0;0;0;3;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;13;LOVRENTOVEC;VATROGASNI DOM;LOVRENTOVEC;103;78;78;76;2;0;1;0;0;0;1;0;0;1;0;11;0;0;1;9;1;0;0;2;0;2;1;0;0;0;45;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;14;GORNJA POLJANA;PODRUÈNA ŠKOLA;GORNJA POLJANA;237;157;157;152;5;0;0;1;1;6;0;1;2;0;1;11;0;0;12;26;0;0;1;8;0;0;0;1;1;0;79;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;15;DONJA POLJANA;VATROGASNI DOM;DONJA POLJANA;361;256;256;252;4;0;0;1;3;4;2;0;2;0;0;19;0;0;6;25;2;0;0;19;2;0;0;1;2;1;161;0;0;1;1;0;;;;;;;;;;;;;;;;;
