Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  VLADIMIR SEVER  ;AKCIJA MLADIH - AM  , Nositelj liste:  IGOR PUHAR;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR  ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILAN BINGULA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;GLAS RAZUMA  , Nositelj liste:  MILAN LELAS, dipl.ing.prometa, pilot ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  VLADO MIKLOBUŠEC  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  DARKO PETRIÈIÆ ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  JOSIP FRIŠÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;  , HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZVONKO BAJAN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  EMIL ZORAJ ;Predlagatelji: NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  DARKO DUGA;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  BRANKO STOJKOVIÆ ;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  KREŠIMIR ŠTETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ  ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO JEFTIMIJA, dr.  ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  ŽELJKO TUPEK ;ZELENA STRANKA - ZS  , Nositelj liste:  LJUBO SUBOTIÆ, prof.;ZELENI ZAJEDNO  , Nositelj liste:  SRÐAN DVORNIK, mag. pol. ;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;13;GRBAVAC;MJESNI DOM U GRBAVCU;GRBAVAC 76;230;157;157;155;2;0;0;0;0;0;0;0;0;0;0;0;0;73;1;0;0;11;2;1;2;1;0;0;5;0;0;0;0;0;59;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;14;VELIKA BARNA;MJESNI DOM U VELIKOJ BARNI;KRALJA TOMISLAVA 1A;421;151;151;148;3;0;0;1;2;1;0;1;2;0;1;0;0;63;2;0;0;7;5;3;0;2;0;0;0;0;1;0;0;0;56;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;15;LONÈARICA;MJESNI DOM U LONÈARICI;LONÈARICA 50;200;71;71;71;0;0;0;0;1;0;0;1;2;0;0;0;0;38;0;0;0;1;1;2;1;3;0;1;1;0;2;0;0;0;15;0;0;0;0;0;2;;;;;;;;;
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;16;DAPÈEVAÈKI BRÐANI;MJESNI DOM U DAPÈEVAÈKIM BRÐANIMA;DAPÈEVAÈKI BRÐANI 7;239;77;77;76;1;0;1;0;0;0;0;0;0;0;0;0;0;51;0;0;0;2;1;8;1;1;0;0;0;0;1;0;0;0;10;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;1;REKA;DRUŠTVENI DOM REKA;MAŽURANIÆEV TRG 18;1.253;784;784;775;9;1;0;5;7;1;7;1;12;1;5;0;3;134;2;0;0;30;22;21;8;37;6;0;7;1;3;0;0;1;452;2;2;1;1;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;2;STARIGRAD;PODRUÈNA ŠKOLA (1);KREŠIMIROVA ULICA 13;934;632;625;619;6;0;0;1;1;0;5;6;28;0;2;1;1;77;1;0;0;24;28;11;6;47;8;0;3;1;1;0;0;1;361;0;3;0;2;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;3;STARIGRAD;PODRUÈNA ŠKOLA  (2);KREŠIMIROVA ULICA 13;1.109;712;711;698;13;1;2;1;7;2;5;1;20;1;4;3;3;99;1;0;1;42;25;24;7;42;6;0;5;0;4;1;0;0;384;0;2;0;2;0;3;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;4;DRAGANOVEC;DRUŠTVENI DOM DRAGANOVEC;DRAGANOVEC;405;272;272;268;4;1;0;0;1;1;4;2;7;0;0;1;2;41;0;0;0;6;10;9;1;11;1;0;0;0;1;0;1;1;165;1;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;5;BAKOVÈICA;PODRUÈNA ŠKOLA;ŠKOLSKA ULICA 3;267;173;173;171;2;0;0;0;0;0;2;0;3;0;1;0;1;48;0;0;0;4;2;4;1;11;2;0;1;1;0;0;0;0;90;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;6;JAGNJEDOVEC;MJESNI URED JAGNJEDOVEC;JAGNJEDOVEC;279;189;189;189;0;1;0;0;0;3;1;0;3;0;1;1;0;49;1;1;0;10;0;2;2;3;0;1;0;0;0;0;0;0;109;0;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;7;ŠTAGLINEC;DRUŠTVENI DOM;ŠTAGLINEC;419;294;294;293;1;0;0;0;3;0;1;0;4;0;0;0;0;61;1;0;0;8;3;2;2;11;0;0;0;0;1;0;0;0;194;0;0;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;8;HEREŠIN;DRUŠTVENI DOM;HEREŠIN;581;403;403;392;11;0;3;2;2;2;2;5;9;0;1;1;0;35;4;0;0;23;8;8;0;22;12;0;2;1;1;1;0;1;243;1;0;1;0;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;9;KOPRIVNICA;AUTOKLUB (1) KOPRIVNICA;STAROGRADSKA ULICA 45;798;573;573;565;8;1;2;3;4;0;1;1;19;0;3;0;3;94;3;1;0;11;22;9;7;50;6;0;3;1;3;0;2;2;305;3;2;0;1;1;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;10;KOPRIVNICA;AUTOKLUB (2) KOPRIVNICA;STAROGRADSKA ULICA 45;727;527;527;522;5;0;1;2;2;2;4;0;15;0;1;2;1;41;0;0;0;22;16;8;9;24;3;0;0;0;0;0;0;2;363;0;0;0;1;1;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;11;KOPRIVNICA;PUÈKO OTVORENO UÈILIŠTE - DOMOLJUB(1);STAROGRADSKA ULICA 1;576;424;424;421;3;0;0;0;1;3;2;0;18;0;0;0;0;51;1;0;0;6;11;5;3;38;0;0;0;0;6;1;2;0;270;1;1;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;12;KOPRIVNICA;PUÈKO OTVORENO UÈILIŠTE - DOMOLJUB(2);STAROGRADSKA  ULICA 1;524;378;378;375;3;0;0;2;0;0;2;1;17;0;1;0;0;50;5;1;0;10;17;3;5;24;5;0;1;1;1;0;0;1;225;0;0;0;1;0;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;13;KOPRIVNICA;"GKP ""KOMUNALAC""";MOSNA ULICA 15;451;316;316;309;7;0;0;0;2;0;0;2;12;0;1;1;0;37;0;1;0;15;5;10;5;32;0;0;2;0;1;0;0;0;183;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;14;KOPRIVNICA;GRAD KOPRIVNICA, VJENÈAONICA;ZRINSKI TRG 1;360;244;244;242;2;0;0;0;0;0;2;0;12;0;2;1;1;19;1;0;0;1;10;6;2;18;4;1;0;0;1;0;0;0;159;0;0;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;15;KOPRIVNICA;"OŠ ""BRAÆA RADIÆ""  (1)";MIKLINOVEC 6A;886;649;649;642;7;0;1;6;4;2;0;1;24;0;4;0;2;84;2;0;0;27;22;8;4;49;22;0;0;2;4;1;0;1;367;0;0;0;3;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;16;KOPRIVNICA;"OŠ ""BRAÆA RADIÆ"" (2)";MIKLINOVEC 6A;861;646;646;636;10;0;0;1;1;2;1;5;24;0;1;0;2;86;2;0;0;21;18;5;6;62;20;1;2;1;9;0;0;0;360;1;0;0;1;2;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;17;KOPRIVNICA;DRUŠTVENI DOM MIKLINOVEC;MIKLINOVEC 98A;1.049;663;663;659;4;0;3;1;3;4;0;2;23;0;6;1;2;118;3;0;0;26;15;8;6;34;16;0;3;2;6;0;0;1;372;0;0;0;2;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;18;KOPRIVNICA;UDRUGA UMIROVLJENIKA KOPRIVNICA;FRANA GALOVIÆA 4;676;505;505;499;6;0;1;2;1;0;2;2;23;0;1;0;1;64;3;0;0;20;23;3;2;26;2;0;2;0;9;0;0;2;307;1;1;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;19;KOPRIVNICA;SREDNJA ŠKOLA;TRG SLOBODE 7;1.003;762;762;755;7;1;1;4;2;0;1;0;32;0;4;1;0;76;0;0;0;42;34;3;5;52;8;0;2;0;6;0;0;1;475;1;3;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;20;KOPRIVNICA;"GIMNAZIJA ""F.GALOVIÆ"" KOPRIVNICA";DR.ŽELJKA SELINGERA 3A;954;666;666;655;11;0;0;1;3;2;2;6;19;0;2;0;2;89;2;0;0;19;26;9;6;37;23;0;1;3;4;0;0;3;394;0;0;0;0;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;21;KOPRIVNICA;VETERINARSKA STANICA KOPRIVNICA;ULICA M.P.MIŠKINE 66;572;403;403;398;5;0;0;0;2;1;1;2;19;0;0;0;0;49;7;0;0;11;16;2;4;21;3;0;0;1;6;0;0;0;251;0;0;0;0;2;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;22;KOPRIVNICA;BIVŠA VOJARNA - GLAVNI ULAZ, BIVŠA STRŽARA;TRG DR. ŽARKA DOLINARA 1;467;303;303;300;3;0;1;0;3;0;1;1;8;0;0;0;3;26;3;0;0;9;8;7;1;19;0;0;1;1;2;0;0;2;203;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;23;KOPRIVNICA;"OSNOVNA ŠKOLA ""ANTUN NEMÈIÆ GOSTOVINSKI"" (1)";ŠKOLSKA ULICA 5;577;424;424;422;2;0;2;0;1;2;2;0;9;0;1;1;0;68;2;1;0;12;23;5;8;22;11;1;0;0;5;0;0;3;241;0;2;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;24;KOPRIVNICA;"OŠ ""A.N.GOSTOVINSKI"" (2) KOPRIVNICA";ŠKOLSKA ULICA 5;444;339;339;333;6;0;0;1;0;0;0;2;10;0;0;0;1;37;1;0;0;6;4;5;3;29;0;0;1;1;4;0;0;1;225;0;0;1;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;25;KOPRIVNICA;"COOR ""PODRAVSKO SUNCE"" (1)";HERCEGOVAÈKA BB;789;564;563;559;4;0;0;4;2;2;2;1;17;0;0;2;0;47;4;0;0;9;24;3;4;47;8;1;0;1;3;0;0;1;367;0;4;0;3;3;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;26;KOPRIVNICA;"COOR ""PODRAVSKO SUNCE"" (2)";HERCEGOVAÈKA ULICA BB;825;614;614;607;7;1;0;1;2;5;1;1;27;1;0;1;1;80;4;1;0;11;22;6;6;33;0;0;1;0;9;0;0;0;389;0;0;0;3;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;27;KOPRIVNICA;PODRAVKIN MUZEJ PREHRANE;STAROGRADSKA ULICA BB;560;412;408;404;4;0;1;0;3;0;1;1;9;0;3;0;0;37;3;0;0;17;21;5;6;43;9;0;3;2;1;0;1;1;230;1;0;0;4;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;28;KOPRIVNICA;"""WEST CENTAR"" (1) KOPRIVNICA";ZAGREBAÈKA ULICA BB;892;600;600;589;11;1;1;3;1;0;2;0;16;0;2;0;2;115;5;0;0;17;18;11;3;37;3;0;6;0;6;0;0;0;335;1;0;0;1;0;3;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;29;KOPRIVNICA;"""WEST CENTAR"" (2) KOPRIVNICA";ZAGREBAÈKA ULICA BB;978;623;623;615;8;0;2;1;1;0;4;3;25;1;0;0;1;63;1;0;0;25;12;15;0;28;5;0;3;0;8;0;1;0;413;1;0;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;30;KOPRIVNICA;"GKP ""KOMUNALAC""  (1)";VARAŽDINSKA CESTA 16;903;610;609;601;8;1;1;3;3;2;2;3;17;0;1;2;4;45;2;0;0;16;18;11;6;52;1;0;4;1;2;0;1;0;396;1;1;0;1;1;3;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;31;KOPRIVNICA;"GKP ""KOMUNALAC"" (2)";VARAŽDINSKA CESTA 16;892;566;566;557;9;0;1;2;2;1;0;3;16;0;4;0;0;80;1;0;0;12;21;7;11;31;12;0;1;1;2;0;0;0;341;3;0;0;1;4;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;32;KUNOVEC BREG;DRUŠTVENI DOM KUNOVEC BREG;KOPRIVNIÈKA ULICA 101;640;379;379;375;4;0;0;2;1;1;2;6;7;0;0;0;0;64;1;0;0;33;10;10;3;24;4;1;3;0;0;0;0;0;200;1;0;0;0;0;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;33;KOPRIVNICA;PODRUÈNA ŠKOLA VINICA (1);VINICA 46;975;604;604;596;8;0;1;1;3;1;0;3;22;1;0;0;1;82;1;0;0;17;18;11;9;33;3;0;1;2;5;1;0;3;371;1;1;1;2;1;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;34;KOPRIVNICA;PODRUÈNA ŠKOLA VINICA (2);VINICA 46;841;519;519;517;2;0;1;2;6;0;7;8;19;0;1;1;3;50;1;2;0;10;19;8;4;32;4;0;2;0;0;0;0;0;334;0;0;0;0;1;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;35;KOPRIVNICA;"OSIGURANJE ""TRIGLAV""";ULICA TARAŠÈIÆE 21;708;543;543;534;9;0;0;0;0;1;1;1;15;0;1;0;0;44;7;0;1;22;14;5;11;32;4;0;2;0;8;0;0;0;356;1;0;0;3;2;3;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;36;KOPRIVNICA;"OŠ ""ÐURO ESTER"" (1)";TRG SLOBODE 5;594;446;446;437;9;0;0;2;3;2;1;0;14;0;2;1;0;34;0;1;0;9;6;9;2;22;3;0;1;0;8;0;0;0;315;0;0;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;37;KOPRIVNICA;"OŠ ""ÐURO ESTER"" (2)";TRG SLOBODE 5;548;424;424;419;5;0;0;2;0;2;1;0;18;1;1;0;1;43;1;0;0;10;11;4;5;38;3;1;5;1;4;0;1;0;261;0;1;1;0;1;2;;;;;;;;;
II. IZBORNA JEDINICA;KOPRIVNICA;38;KOPRIVNICA;DOM ZA STARIJE I NEMOÆNE OSOBE;TRG E. KUMIÈIÆA 17;525;381;381;378;3;0;1;2;3;2;1;2;16;0;3;2;1;61;2;0;0;13;19;2;3;25;1;0;3;0;2;0;0;0;206;2;4;0;0;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;1;KRIŽEVCI;"OŠ ""VLADIMIR NAZOR"" KRIŽEVCI";ULICA BANA JOSIPA JELAÈIÆA 23;831;530;530;521;9;0;1;1;2;2;2;2;18;0;3;1;5;69;4;0;2;32;29;8;3;31;1;0;2;0;5;0;0;2;290;2;2;0;0;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;2;KRIŽEVCI;ŽUPANIJSKA UPRAVA ZA CESTE KRIŽEVCI;ULICA I. Z. DIJANKOVEÈKOG 3;413;261;261;257;4;0;0;0;3;0;2;1;5;0;1;0;2;29;1;0;0;23;5;5;2;31;3;0;4;0;6;0;0;0;132;0;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;3;KRIŽEVCI;KOMUNALNO PODUZEÆE, DVORANA NA I. KATU;DRAGE GRDENIÆA 7, KRIŽEVCI;504;360;360;359;1;0;1;2;0;0;3;1;9;0;0;0;2;57;1;0;0;18;29;9;4;33;1;0;5;0;2;0;0;1;180;0;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;4;KRIŽEVCI;HRVATSKI DOM  KRIŽEVCI - (LIJEVO DVORANA);ANTUNA GUSTAVA MATOŠA 4, KRIŽEVCI;832;509;509;504;5;0;4;2;1;1;9;0;13;1;0;0;3;60;1;0;0;28;19;8;0;33;1;1;1;0;5;0;0;1;307;0;2;0;0;1;2;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;5;KRIŽEVCI;HRVATSKI DOM KRIŽEVCI (DESNO GALERIJA);ANTUNA GUSTAVA MATOŠA 4, KRIŽEVCI;840;543;543;539;4;0;1;0;4;0;9;1;12;0;0;0;11;59;1;2;0;22;29;7;4;46;4;0;1;0;1;0;0;0;318;2;3;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;6;KRIŽEVCI;AUTO-MOTO KLUB KRIŽEVCI;ZAGREBAÈKA ULICA 33, KRIŽEVCI;897;578;572;560;12;0;1;1;1;2;9;0;11;1;1;0;2;87;2;0;0;38;18;7;5;53;5;0;8;0;3;0;0;0;300;2;0;1;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;7;KRIŽEVCI;HRVATSKI ZAVOD ZA ZAPOŠLJAVANJE-PODRUÈNA SLUŽBA KRIŽEVCI;ULICA KRALJA TOMISLAVA 20,KRIŽEVCI;717;500;500;492;8;0;2;3;1;2;8;3;15;0;0;0;5;70;3;0;0;16;26;5;5;42;8;0;4;1;4;0;1;0;263;1;2;0;2;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;8;KRIŽEVCI;RADNIK D.D. KRIŽEVCI;ULICA KRALJA TOMISLAVA 45, KRIŽEVCI;761;506;506;501;5;0;2;0;3;1;0;0;12;1;2;0;4;82;3;0;0;15;24;10;3;29;3;0;3;0;6;0;0;0;293;4;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;9;KRIŽEVCI;HRVATSKE ŠUME - ŠUMARIJA KRIŽEVCI;ULICA KRALJA TOMISLAVA 114;884;620;619;612;7;1;2;0;5;0;9;1;13;1;2;0;5;68;3;0;0;48;32;12;5;54;6;0;5;1;2;0;0;2;328;0;1;1;2;2;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;10;KRIŽEVCI;DOM ZDRAVLJA KRIŽEVCI;TRG SV. FLORIJANA 11, KRIŽEVCI;743;545;545;538;7;0;1;2;1;2;3;0;19;0;2;1;5;82;1;0;0;23;11;6;4;33;8;0;1;0;5;1;0;1;321;0;1;0;2;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;11;KRIŽEVCI;DOM SV. MARKA KRIŽEVÈANINA KRIŽEVCI;ULICA FRANJE MARKOVIÆA 33, KRIŽEVCI;692;404;404;399;5;0;0;2;1;0;7;0;9;0;3;0;4;42;0;0;0;53;16;7;2;30;3;1;8;0;3;1;0;1;202;1;0;1;0;1;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;12;KRIŽEVCI;VRTLARIJA KOMUNALNOG PODUZEÆA (DRUŠTVENE PROSTORIJE);ULICA IVANA LEPUŠIÆA 1;616;345;345;342;3;0;1;5;4;3;3;1;9;0;1;1;4;46;2;0;0;36;16;3;2;29;3;4;2;1;3;0;0;0;162;0;0;0;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;13;KRIŽEVCI;VATROGASNI DOM KRIŽVECI;ULICA FRANJE RAÈKOGA 2;658;459;459;455;4;0;0;1;4;0;9;0;9;0;0;1;0;77;1;0;0;27;20;12;9;34;14;0;6;0;6;0;0;0;219;2;2;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;14;KRIŽEVCI;"OŠ ""LJUDEVITA MODECA"" KRIŽEVCI";ULICA FRANJE RAÈKOGA 3;788;513;513;508;5;0;0;3;5;1;6;0;11;1;2;1;3;81;1;1;0;30;19;12;5;37;13;2;2;1;4;0;0;1;262;2;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;15;MALI POTOÈEC;VATROGASNI DOM MALI POTOÈEC;MALI POTOÈEC;150;83;83;83;0;0;1;0;0;0;5;0;5;0;0;1;1;16;0;0;0;11;1;4;1;3;0;0;1;0;0;0;0;0;30;3;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;16;APATOVEC;PODRUÈNA ŠKOLA APATOVEC;APATOVEC;324;135;135;133;2;0;0;1;3;0;3;0;1;0;1;0;0;29;0;0;1;14;1;3;0;12;0;0;0;0;0;0;0;0;63;0;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;17;BOJNIKOVEC;VATROGASNI DOM BOJNIKOVEC;BOJNIKOVEC;191;109;109;109;0;0;0;0;0;0;0;0;3;0;0;0;1;17;0;0;1;20;1;4;1;2;0;0;0;1;3;0;0;0;54;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;18;BRCKOVÈINA;DRUŠTVENI DOM BRCKOVÈINA;BRCKOVÈINA;255;141;141;138;3;1;1;0;0;0;4;0;2;0;0;0;3;13;0;0;0;9;6;6;0;3;1;0;2;0;0;0;0;0;85;0;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;19;BUKOVJE KRIŽEVAÈKO;VATROGASNI DOM BUKOVJE KRIŽEVAÈKO;BUKOVJE KRIŽEVAÈKO;261;154;154;153;1;0;0;2;1;0;10;1;2;0;1;1;2;33;0;0;0;17;3;3;2;11;2;0;1;0;0;0;0;0;60;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;20;CAREVDAR;DRUŠTVENI DOM CAREVDAR;CAREVDAR;431;233;233;227;6;2;0;1;1;1;4;1;7;0;0;0;4;37;0;1;1;35;3;5;7;12;0;0;0;0;1;0;0;1;101;1;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;21;NOVI BOŠNJANI;DRUŠTVENI DOM NOVI BOŠNJANI;NOVI BOŠNJANI;66;50;50;50;0;0;0;0;1;0;0;0;0;0;1;0;1;31;0;0;0;2;0;1;0;2;2;0;0;0;0;0;0;0;9;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;22;STARI BOŠNJANI;DRUŠTVENI DOM STARI BOŠNJANI;STARI BOŠNJANI;84;59;59;59;0;0;0;1;1;0;0;1;0;0;1;0;0;35;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;23;DONJI CUBINEC;DRUŠTVENI DOM DONJI CUBINEC;DONJI CUBINEC;186;136;136;134;2;0;1;0;2;0;2;0;1;0;1;1;0;15;0;0;1;21;6;1;2;7;1;0;3;0;0;0;0;2;64;1;0;1;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;24;CUBINEC;VATROGASNI DOM CUBINEC;CUBINEC;278;175;175;170;5;0;0;0;2;1;25;2;0;0;0;1;2;10;1;0;0;32;4;2;2;9;0;0;3;0;2;0;0;0;71;0;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;25;DIJANKOVEC;VATROGASNI DOM DIJANKOVEC;DIJANKOVEC;148;78;78;76;2;1;0;0;0;0;3;0;1;1;1;0;8;22;0;0;0;16;0;1;1;0;2;0;0;0;0;1;0;0;18;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;KRIŽEVCI;26;SREDNJI DUBOVEC;VATROGASNI DOM SREDNJI DUBOVEC;SREDNJI DUBOVEC;171;91;91;89;2;0;0;0;1;1;1;0;2;0;0;0;1;20;1;0;0;17;0;1;0;3;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;;;;;;;;;
