Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  BORIS KINDIJ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILE CIGIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  dr.sc. MLADEN ZELJKO;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI RAST - HRAST  , Nositelj liste:  PETAR GALIÆ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA , HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  MARJAN BOŠNJAK;LISTA ZA RIJEKU - LISTA-RI , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DENIS PEŠUT  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  LEO PLOÈKINIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing. grad.  ;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;16;biraèko mjesto broj 16 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";13.046;1.211;1.211;1.200;11;3;1;6;30;866;4;11;162;42;6;7;0;3;2;57;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;17;biraèko mjesto broj 17 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";6.618;693;693;687;6;0;3;5;24;549;0;6;56;19;2;1;0;2;2;18;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;18;biraèko mjesto broj 18 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";6.964;562;562;554;8;1;0;4;16;382;1;9;85;21;11;2;2;0;1;19;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;19;biraèko mjesto broj 19 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";8.322;774;774;768;6;2;2;0;12;586;0;10;90;16;9;4;4;3;0;30;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;20;biraèko mjesto broj 20 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";10.160;1.026;1.026;1.008;18;0;1;3;17;756;2;9;137;24;3;1;3;1;6;45;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;21;biraèko mjesto broj 21 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";14.015;1.348;1.348;1.338;10;0;0;6;28;1.027;1;27;162;23;11;4;3;2;4;40;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;22;biraèko mjesto broj 22 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";6.766;679;679;673;6;1;1;2;32;508;1;13;59;11;8;1;3;1;3;29;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;23;biraèko mjesto broj 23 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";10.894;1.157;1.157;1.147;10;2;2;1;22;850;0;7;172;24;8;2;2;2;3;50;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;24;biraèko mjesto broj 24 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";10.943;1.192;1.192;1.187;5;0;4;1;38;908;2;16;126;28;15;3;1;0;3;42;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;25;biraèko mjesto broj 25 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";11.598;1.225;1.221;1.211;10;1;0;0;32;923;2;16;135;42;10;5;2;0;3;40;;;;;;;;;;;;;;;;;
