Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: , SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: , ÈEŠKA BESEDA KONÈANICA , MATICA SLOVAÈKA JOSIPOVAC , ÈEŠKA BESEDA SISAK  ;Kandidat: dr.sc. IVAN DANJEK, dipl.ing. agr., Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: IVAN KOMAK, Predlagatelj: SAVEZ SLOVAKA - ZVAZ SLOVAKOV - SSL-ZSL;Kandidat: JAROSLAV VOJTA, mag.prava, Predlagatelj: NEOVISNI KANDIDAT 
XII. IZBORNA JEDINICA;5;NEGOSLAVCI;1;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NIJEMCI;8;4;1;1;1;0;0;0;0;0;1
XII. IZBORNA JEDINICA;5;NOVA KAPELA;14;2;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;5;NUŠTAR;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;OKUÈANI;6;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;OPRISAVCI;9;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ORIOVAC;11;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;PODCRKAVLJE;11;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;PRIVLAKA;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;REŠETARI;8;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SIBINJ;12;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SIKIREVCI;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SLAVONSKI ŠAMAC;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARA GRADIŠKA;6;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARI JANKOVCI;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARI MIKANOVCI;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARO PETROVO SELO;13;2;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ŠTITAR;2;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TOMPOJEVCI;5;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TORDINCI;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TOVARNIK;4;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TRPINJA;7;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VELIKA;17;3;1;1;1;0;0;0;1;0;0
XII. IZBORNA JEDINICA;5;VELIKA KOPANICA;9;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VOÐINCI;2;1;1;1;1;0;0;0;0;1;0
XII. IZBORNA JEDINICA;5;VRBANJA;6;39;20;20;19;1;1;0;0;18;0
XII. IZBORNA JEDINICA;5;VRBJE;7;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRPOLJE;4;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;GLINA;20;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;HRVATSKA KOSTAJNICA;8;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;IVANIÆ-GRAD;21;2;2;2;2;0;1;1;0;0;0
XII. IZBORNA JEDINICA;6;KUTINA;39;180;100;100;99;1;11;83;1;2;2
