Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;54;OSNOVNA ŠKOLA;"OŠ ""BOGOSLAV ŠULEK""";A.M. KRLEŽE BB;1.074;536;536;531;5;0;3;3;2;14;2;2;111;2;0;12;91;21;51;20;3;3;0;183;2;1;4;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;55;DJEÈIJI VRTIÆ;"DJEÈIJI VRTIÆ ""RADOST""";TOME BAKAÈA;490;302;302;294;8;0;1;0;3;11;4;1;56;0;0;3;37;18;26;8;0;2;4;116;0;2;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;56;DJEÈIJI VRTIÆ;"DJEÈIJI VRTIÆ ""RADOST""";TOME BAKAÈA;1.104;683;683;671;12;2;2;2;0;14;2;3;150;1;6;13;83;25;52;26;7;1;3;273;2;2;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;57;MJESNI DOM;MJESNI DOM JOSIP JURAJ STROSSMAYER - VELIKA SALA;DOBRILINA;1.178;680;680;669;11;1;3;3;2;14;2;2;107;3;6;10;63;27;49;30;4;5;0;330;3;0;4;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;58;MJESNI DOM;MJESNI DOM JOSIP JURAJ STROSSMAYER - MALA SALA;DOBRILINA;1.020;580;580;569;11;1;0;1;0;14;0;3;117;3;5;8;62;23;52;19;5;2;2;241;3;1;7;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;59;OSNOVNA ŠKOLA;"OŠ ""VLADIMIR NAZOR""";F. MARINIÆA 9;950;534;534;525;9;0;0;0;1;15;1;3;115;2;6;13;60;17;50;15;1;3;2;212;3;0;2;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;SLAVONSKI BROD;60;SLAVONIJA DI;PROSTORIJE SLAVONIJE DI;SV. LOVRE;1.236;544;544;532;12;1;0;4;1;7;4;1;105;5;1;5;91;6;28;19;3;1;0;243;2;3;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;1;VINKOVCI;I. MJESNI ODBOR VINKOVCI;H.V.HRVATINIÆA 50;1.037;723;722;709;13;0;2;2;1;17;1;2;260;2;7;31;15;37;69;25;7;1;0;223;1;2;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;2;VINKOVCI;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA;H.D. GENSCHERA BB;812;556;544;533;11;0;1;0;1;12;1;1;176;0;10;42;10;20;48;9;8;5;3;181;0;1;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;3;VINKOVCI;INDUSTRIJSKO-OBRTNIÈKA ŠKOLA;H.D.GENSCHERA BB;1.039;718;718;708;10;0;4;0;1;12;1;2;221;4;15;28;13;26;70;28;17;2;0;258;0;1;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;4;VINKOVCI;II. MJESNI ODBOR VINKOVCI;M. GUPCA 21A;1.139;797;797;780;17;1;5;2;2;13;1;2;240;3;9;48;15;17;88;31;4;5;1;292;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;5;VINKOVCI;"DJEÈJI VRTIÆ ""NAŠA RADOST""";P.MIŠKINE 69;748;455;447;442;5;0;2;3;1;15;4;2;157;0;11;10;8;15;49;9;4;2;0;148;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;6;VINKOVCI;POSLOVNI PROSTOR;K.KOTROMANIÆ 16;1.075;680;680;671;9;0;3;1;4;19;6;6;221;6;3;45;11;49;65;16;10;3;0;197;3;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;7;VINKOVCI;CRVENI KRIŽ;TRG BANA J.ŠOKÈEVIÆA 2;532;328;328;326;2;0;0;2;1;11;0;3;106;0;3;22;6;14;18;11;2;3;1;119;1;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;8;VINKOVCI;ZAVOD ZA ZAPOŠLJAVANJE VINKOVCI;J.DALMATINCA 27;761;540;540;534;6;0;1;3;0;14;0;1;186;3;3;33;7;11;29;19;3;2;0;215;1;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;9;VINKOVCI;III. MJESNI ODBOR VINKOVCI;GLAGOLJAŠKA 13;990;649;649;641;8;1;0;3;0;11;1;6;223;5;1;32;11;14;48;22;6;7;1;243;1;0;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;10;VINKOVCI;GRADSKA UPRAVA GRADA VINKOVACA;BANA J.JELAÈIÆA 1;852;528;528;523;5;0;3;0;0;12;3;5;142;2;7;26;5;13;53;19;6;0;1;223;0;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;11;VINKOVCI;IV MJESNI ODBOR KOLODVOR;KRALJA ZVONIMIRA 101;836;561;561;551;10;0;3;2;0;14;0;6;199;2;2;15;7;25;42;10;4;2;0;216;0;1;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;12;VINKOVCI;UDRUŽENJE UMIROVLJENIKA;TRG J. RUNJANINA 11;851;579;579;569;10;1;1;3;1;12;1;5;183;2;5;17;21;25;42;25;13;1;2;207;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;13;VINKOVCI;VODOPRIVREDA VINKOVCI D.D.;JOSIPA KOZARCA 28;1.038;694;681;672;9;0;2;2;5;14;3;4;210;1;6;30;24;23;79;24;4;2;3;232;1;0;3;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;14;VINKOVCI;V. MJESNI ODBOR VINKOVCI;12 REDARSTVENIKA BB;1.099;714;714;709;5;0;3;4;1;14;5;4;244;2;2;30;12;27;81;18;4;0;4;253;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;15;VINKOVCI;"DJEÈJI VRTIÆ ""PÈELICA""";DVANAEST REDARSTVENIKA 20;733;441;441;431;10;0;4;3;0;14;3;1;110;2;0;10;12;29;56;9;5;2;0;169;0;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;16;VINKOVCI;DJEÈJI VRTIÆ EDEN PODRUŽNICA SRCE MARIJINO;ŠKOLSKA 35;740;458;445;442;3;0;1;1;2;9;2;2;163;0;0;10;15;16;57;11;4;2;1;139;1;6;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;17;VINKOVCI;VI. MJESNI ODBOR VINKOVCI;ŠKOLSKA 42;798;557;557;549;8;3;3;3;3;5;2;4;196;1;4;14;12;41;62;14;12;1;0;165;1;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;18;VINKOVCI;VI. MJESNI ODBOR VINKOVCI;ŠKOLSKA 42;908;581;581;570;11;0;3;3;1;7;2;0;218;4;4;17;13;25;54;10;6;0;0;202;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;19;VINKOVCI;"OŠ ""BARTOLA KAŠIÆA""";B.KAŠIÆA BB;1.124;751;751;740;11;0;0;2;2;7;6;4;357;2;4;15;14;30;90;14;8;2;1;176;2;0;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;20;VINKOVCI;INA-NAFTAPLIN VINKOVCI;OHRIDSKA 17;814;542;542;534;8;0;1;2;0;17;2;2;130;2;9;15;10;25;32;25;1;4;0;254;0;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;21;VINKOVCI;OSN.ŠKOLA A.G. MATOŠA VINKOVCI;OHRIDSKA 21;813;538;524;518;6;0;0;2;0;15;3;1;161;0;1;13;16;27;62;25;6;2;1;179;1;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;22;VINKOVCI;"DJEÈJI VRTIÆ ""STRIBOR""";J.J.STROSSMAYERA 7;601;384;384;376;8;0;0;3;0;8;0;1;117;0;3;11;6;18;39;8;6;1;0;148;2;2;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;23;VINKOVCI;VII. MJESNI ODBOR VINKOVCI;MATICE HRVATSKE 8;1.140;759;759;749;10;0;2;1;0;20;0;4;255;3;3;36;15;38;57;35;8;3;3;260;1;0;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;24;VINKOVCI;VINKOVCI - DOM UMIROVLJENIKA;NIKOLE TESLE 43B;676;484;474;467;7;0;0;2;2;7;2;2;137;1;1;24;7;15;27;7;3;4;3;221;0;0;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;25;VINKOVCI;VIII. MJESNI ODBOR VINKOVCI;BANA J.JELAÈIÆA 81;805;481;481;473;8;1;4;1;1;9;0;3;143;3;2;28;9;20;53;21;4;3;0;167;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;26;VINKOVCI;IX. MJESNI ODBOR VINKOVCI;M.BRAŠNIÆA 2A;736;494;494;491;3;1;6;2;0;4;6;3;151;4;3;18;9;29;48;13;7;3;1;180;1;0;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;27;VINKOVCI;ELEKTRA VINKOVCI;KRALJA ZVONIMIRA 96;933;694;676;664;12;2;1;2;0;13;0;5;177;7;3;27;7;42;68;25;11;2;2;257;1;5;3;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;28;VINKOVCI;ELEKTRA VINKOVCI;KRALJA ZVONIMIRA 96;757;472;472;467;5;0;2;3;0;7;2;1;131;5;3;30;8;27;54;9;3;0;2;180;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;29;VINKOVCI;X. MJESNI ODBOR VINKOVCI;KRALJA ZVONIMIRA 120;1.227;733;732;719;13;2;0;3;2;18;1;6;207;5;2;40;25;36;92;26;8;1;5;236;1;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;30;VINKOVCI;INA TRGOVINA VINKOVCI;KRALJA ZVONIMIRA 126;883;568;568;559;9;2;2;1;0;13;0;2;227;2;2;23;13;25;56;20;13;0;1;153;1;0;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;31;VINKOVCI;XI. MJESNI ODBOR VINKOVCI;V.GORTANA 25B;1.026;546;545;538;7;1;3;6;2;10;1;3;210;5;2;14;9;17;85;20;6;1;1;140;1;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;32;MIRKOVCI;XII. MJESNI ODBOR - MIRKOVCI;DUNAVSKA 1;1.112;647;561;542;19;0;0;2;1;6;1;2;150;0;5;15;8;22;47;12;0;1;0;264;0;1;1;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VINKOVCI;33;MIRKOVCI;OSNOVNA ŠKOLA MIRKOVCI;VUKOVARSKA 2;914;534;534;521;13;0;2;2;1;6;2;2;148;3;5;25;12;18;71;14;8;1;0;199;1;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;1;SOTIN;DOM KULTURE SOTIN;DR. FRANJE TUÐMANA 2;718;469;469;465;4;1;0;1;0;1;0;0;224;4;1;0;7;59;29;7;1;1;0;123;2;1;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;2;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA 2;1.833;1.050;1.050;1.030;20;1;2;5;6;9;4;2;540;1;5;19;34;74;54;16;5;1;0;247;3;1;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;3;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA 2;1.461;931;930;919;11;1;5;2;4;20;2;1;405;6;6;31;22;87;59;25;2;1;0;235;1;2;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;4;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA BB;2.299;1.247;1.247;1.242;5;3;2;4;2;9;3;4;386;3;3;15;22;76;53;26;0;3;7;607;4;5;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;5;VUKOVAR;DOM HRVATSKIH BRANITELJA;TRG HRVATSKIH BRANITELJA BR. 1 (BEÆARSKI KRIŽ),;1.446;807;805;791;14;1;1;2;1;10;2;3;294;2;5;10;16;48;44;7;3;1;0;330;2;1;5;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;6;VUKOVAR;"OSNOVNA ŠKOLA ""NIKOLE ANDRIÆA""";VOÆARSKA BB;1.925;1.057;1.057;1.035;22;0;0;4;1;15;3;3;364;2;3;20;23;61;53;15;9;0;1;454;0;2;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;7;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIÆA""";204. VUKOVARSKE BRIGADE 24A;1.599;971;971;952;19;2;2;3;3;13;2;5;293;2;4;22;15;43;37;15;7;4;3;471;1;0;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;8;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIÆA""";204. VUKOVARSKE BRIGADE 24A;1.145;653;653;644;9;1;2;2;1;20;0;2;191;2;1;8;11;29;26;13;2;2;0;330;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;9;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIÆA"" PODRUÈNA ŠKOLA LUŽAC";LJUDEVITA POSAVSKOG BR. 16;545;349;349;342;7;1;0;2;1;1;0;1;97;0;1;0;8;17;14;2;0;0;1;192;2;2;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;10;VUKOVAR;ŠPORTSKA DVORANA BOROVO;TRG DRAŽENA PETROVIÆA BB;1.129;930;676;663;13;0;1;3;2;9;0;0;175;1;2;13;11;26;17;13;2;0;0;385;2;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;11;VUKOVAR;ŠPORTSKA DVORANA BOROVO;TRG DRAŽENA PETROVIÆA BB;1.430;919;918;909;9;0;2;4;4;19;1;2;249;2;0;7;10;66;24;19;3;1;0;494;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;12;VUKOVAR;EKONOMSKA ŠKOLA VUKOVAR;S. FILIPOVIÆA BR. 6;806;455;455;449;6;0;0;1;1;6;1;1;159;3;1;12;13;28;13;1;2;1;0;205;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;13;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA BB;1.871;1.068;1.065;1.051;14;2;2;3;4;15;2;2;514;5;3;14;25;98;42;12;6;0;3;288;4;3;4;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;14;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIÆA BR. 2;1.517;888;886;866;20;2;4;1;2;10;2;2;312;5;2;10;21;57;39;26;4;1;1;361;1;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;15;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIÆA""";DR. A. STARÈEVIÆA BR. 5;1.261;793;793;783;10;1;2;3;1;14;2;0;249;3;2;12;22;30;22;8;1;1;1;400;1;2;3;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;VUKOVAR;16;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE, PODRUÈNA ŠKOLA ""LIPOVAÈA""";SV. ANE BR. BB;218;131;131;129;2;0;0;1;0;3;0;1;58;0;0;2;1;4;7;0;0;0;0;52;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;1;ŽUPANJA;"OŠ ""IVAN KOZARAC"" ŽUPANJA";DR. F.RAÈKOG 30;2.041;1.065;1.064;1.049;15;1;4;6;5;21;4;4;329;12;26;14;15;33;156;22;9;3;4;377;1;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;2;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA I;VELIKI KRAJ 42;1.308;651;651;642;9;0;2;7;2;6;4;5;252;5;7;13;12;16;88;20;11;3;2;181;1;1;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;3;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA II;VELIKI KRAJ 42;1.133;529;529;524;5;3;7;2;3;5;5;2;228;0;10;8;3;6;50;19;0;3;1;159;0;7;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;4;ŽUPANJA;ŠUMARIJA ŽUPANJA;DR. FRANJE RAÈKOG 34;1.809;1.077;1.077;1.061;16;0;4;2;5;41;2;9;298;7;20;13;13;28;80;30;2;3;4;494;2;0;0;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;5;ŽUPANJA;"KINO ""MLADOST""";STROSSMAYEROVA 51;1.490;830;830;821;9;2;0;2;1;22;5;2;287;6;11;22;11;15;103;34;7;1;1;276;2;4;3;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;6;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" I";A. STEPINCA 18;1.728;877;877;868;9;2;7;0;1;19;6;1;281;4;15;22;17;24;97;27;3;1;1;335;0;0;1;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;7;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" II";A. STEPINCA 18;1.607;737;737;732;5;0;5;2;1;14;4;3;265;3;11;21;12;17;86;18;10;2;6;249;0;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;8;ŽUPANJA;"KINO ""KRISTAL""";ŠEÆERANA 62;849;491;491;484;7;2;0;0;0;8;3;2;155;2;1;9;11;11;47;17;2;1;4;202;2;1;3;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ŽUPANJA;9;ŽUPANJA;"PROSTORIJE NK ""ŽUPANJA 77""";M. ÆATIÆA;655;292;292;284;8;1;0;1;1;0;4;1;148;1;4;8;6;4;23;2;1;0;0;76;0;0;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ANDRIJAŠEVCI;1;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";OSNOVNA ŠKOLA;972;577;577;569;8;0;2;3;2;7;1;0;212;3;19;7;26;10;100;6;10;2;3;153;2;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ANDRIJAŠEVCI;2;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";OSNOVNA ŠKOLA;662;427;427;418;9;0;1;0;1;9;1;1;131;4;4;14;11;5;44;16;3;2;1;167;1;2;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ANDRIJAŠEVCI;3;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";OSNOVNA ŠKOLA;667;373;373;366;7;1;1;0;2;10;2;0;153;0;3;11;9;13;61;7;0;0;1;91;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ANDRIJAŠEVCI;4;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";OSNOVNA ŠKOLA;1.004;579;577;569;8;0;0;1;1;4;1;7;187;4;9;19;8;13;123;17;0;1;2;170;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BABINA GREDA;1;BABINA GREDA;"ÈITAONICA ""NOVA SALA""";KRALJA TOMISLAVA 198;836;401;401;399;2;3;0;0;1;5;2;0;124;3;10;1;10;30;50;5;2;0;2;147;0;1;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BABINA GREDA;2;BABINA GREDA;"ÈITAONICA ""ÈEVATOVO""";BANA J.JELAÈIÆA BB;731;396;394;387;7;1;1;4;3;5;3;1;132;5;23;2;5;9;56;4;0;0;2;127;0;3;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BABINA GREDA;3;BABINA GREDA;LOVAÈKA KUÆA;NOVO NASELJE 7;1.094;524;522;517;5;3;0;4;1;6;5;0;179;8;33;13;7;23;57;1;0;1;1;172;0;3;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BABINA GREDA;4;BABINA GREDA;"ÈITAONICA ""BERAVA""";BRAÆE RADIÆA 33;564;319;319;318;1;2;0;1;3;3;2;0;111;0;22;0;4;7;43;2;4;0;0;112;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BABINA GREDA;5;BABINA GREDA;"ÈITAONICA ""JELAS""";MIJATA STOJANOVIÆA 116;318;195;195;194;1;0;1;0;0;2;2;0;38;1;25;1;2;5;55;0;2;0;2;56;2;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;1;KANIŽA;DRUŠTVENI DOM U KANIŽI;KANIŽA BB;680;345;345;332;13;1;2;3;4;3;5;3;92;0;23;2;32;9;43;2;0;3;1;103;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;2;BEBRINA;DRUŠTVENI DOM U BEBRINI;BEBRINA BB;391;228;228;221;7;1;1;0;0;2;3;2;106;0;8;4;5;9;34;3;2;1;0;38;2;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;3;STUPNIÈKI KUTI;DRUŠTVENI DOM U STUPNIÈKIM KUTIM;STUPNIÈKI KUTI BB;315;184;184;177;7;1;3;0;1;3;0;0;68;1;34;6;2;8;27;4;0;0;1;18;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;4;BANOVCI;DRUŠTVENI DOM BANOVCI;BANOVCI 22;305;198;198;193;5;1;2;0;1;0;0;3;61;0;20;0;5;5;34;0;0;2;1;56;1;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;5;DUBOÈAC;DRUŠTVENI DOM DUBOÈAC;DUBOÈAC BB;195;118;118;113;5;0;0;2;0;7;1;1;51;0;5;0;7;5;5;3;1;2;1;20;1;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;6;ŠUMEÆE;DRUŠTVENI DOM  U ŠUMEÆU;ŠUMEÆE BB;461;290;290;280;10;0;0;0;3;6;3;1;94;1;8;5;15;17;33;1;0;0;1;88;2;0;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BEBRINA;7;ZBJEG;DRUŠTVENI DOM U ZBJEGU;ZBJEG BB;414;242;242;237;5;0;2;1;0;1;2;1;62;4;21;2;15;30;22;4;0;1;1;66;1;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;BOGDANOVCI;1;BOGDANOVCI;ZGRADA OPÆINE;BANA JOSIPA JELAÈIÆA 1;616;444;444;437;7;0;0;0;1;3;2;3;254;3;1;0;36;9;47;2;3;0;0;73;0;0;0;0;;;;;;;;;;;;;;;;;
