Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN VUJANIÆ ;AGENDA MLADIH DEMOKRATA - AMD, HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IGOR KINDIJ;AKCIJA MLADIH - AM, Nositelj liste: ALAN SANKOVIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH, SPLITSKA STRANKA UMIROVLJENIKA - SSU, Nositelj liste: ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP, Nositelj liste: MARKO FRANCIŠKOVIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ ;GLAS RAZUMA, Nositelj liste: STJEPAN RADILOVIÆ, dipl.organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: JADRANKA KOSOR  ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21., Nositelj liste: VEDRANA MILAS  ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS, ZELENA STRANKA - ZS, STRANKA PENZIONERA - SP, Nositelj liste: DARKO VULETIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS, Nositelj liste: prof.dr.sc. VELIMIR SRIÆA  ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTE PRKAÈIN  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: RUŽA TOMAŠIÆ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN, dipl.inž.;HRVATSKI LABURISTI-STRANKA RADA, Nositelj liste: DRAGUTIN LESAR  ;HRVATSKI RAST - HRAST, Nositelj liste: KREŠIMIR MILETIÆ ;NACIONALNI DEMOKRATI - ND, DEAN GOLUBIÆ, dipl.krim.  ;NEOVISNA LISTA, Nositelj liste: MILAN BANDIÆ;NEOVISNA LISTA, Nositelj liste: DAMIR GAŠPAROVIÆ  ;NEOVISNA LISTA, Nositelj liste: dr.sc. IVAN GRUBIŠIÆ  ;NEOVISNA LISTA, Nositelj liste: HRVOJE MIRKOVIÆ;NEOVISNA LISTA, Nositelj liste: VEDRAN SENJANOVIÆ  ;NEOVISNA LISTA, Nositelj liste: SINIŠA VUCO ;NOVA HRVATSKA - NH, Nositelj liste: BORKO ŠAMIJA ;OBITELJSKA STRANKA - OS, Nositelj liste: MATE KNEZOVIÆ;SAVEZ ZA PROMJENE - SP, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: IVAN PERNAR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, Nositelj liste: mr.sc. BOŽIDAR DUGONJIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ, Nositelj liste: ŽELJKO VINSKI, ing.grad.  ;VOLIM HRVATSKU - VH, Nositelj liste: ROKO ŠIKIÆ  ;ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: LJUBOMIR PULJIÆ  ;ZAGORSKA STRANKA - ZS, Nositelj liste: BOŽIDAR PTIÈAR;ZAGREBAÈKA NEZAVISNA LISTA - ZNL, Nositelj liste: mr.sc. TATJANA HOLJEVAC, dipl.ing.;ZELENA LISTA, Nositelj liste: NEVA TOLLE ;ZELENI ZAJEDNO, Nositelj liste: VERA PETRINJAK-ŠIMEK ;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;152;NIKOLA TESLA;ŠPORTSKA GIMNAZIJA;SELSKA CESTA 119;965;629;629;621;8;0;3;0;3;3;2;23;0;1;2;113;0;0;5;30;19;12;7;60;16;1;13;2;21;0;0;2;0;0;3;269;0;0;0;2;1;5;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;153;PONGRAÈEVO;DOM ZA STARIJE I NEMOÆNE OSOBE TREŠNJEVKA;TRG SLAVOLJUBA PENKALE 1;826;565;565;557;8;1;0;3;4;4;1;28;1;1;1;102;1;1;4;28;26;14;3;46;20;0;10;0;11;0;0;1;0;1;2;230;2;0;0;0;0;8;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;154;PONGRAÈEVO;DJEÈJI DOM A. G. MATOŠ;SELSKA CESTA 132;1.488;973;973;961;12;0;0;5;10;5;3;40;0;2;0;139;1;0;14;29;22;33;6;81;26;0;36;1;21;0;0;10;1;2;5;449;3;4;4;0;1;5;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;155;PONGRAÈEVO;PROSTORIJE MJESNOG ODBORA;OPATIJSKI TRG 10;687;448;448;438;10;0;1;0;6;4;1;17;0;1;1;76;1;0;5;15;6;16;4;40;7;1;7;0;13;0;0;1;0;0;3;204;0;0;0;0;1;1;3;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;156;PONGRAÈEVO;PROSTORIJE MJESNOG ODBORA;OPATIJSKI TRG 10;1.107;721;720;707;13;0;1;1;8;5;1;30;0;3;1;123;1;0;11;30;15;31;4;52;18;1;21;2;21;0;0;4;0;3;3;305;3;1;1;0;1;2;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;157;PONGRAÈEVO;PROSTORIJE MJESNOG ODBORA;OPATIJSKI TRG 10;1.108;726;726;718;8;0;1;2;1;1;1;28;1;2;0;125;1;0;7;29;24;23;5;52;11;0;19;1;15;1;2;2;0;1;4;342;3;0;0;1;4;7;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;158;RUDEŠ;PROSTORIJE MJESNOG ODBORA;RUDEŠKA CESTA 71;1.425;882;882;866;16;2;3;3;4;3;2;37;2;2;1;149;0;0;2;40;36;28;6;73;16;1;28;1;24;0;2;7;2;2;1;379;0;0;0;1;0;3;3;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;159;RUDEŠ;PROSTORIJE MJESNOG ODBORA;RUDEŠKA CESTA 71;1.255;778;778;767;11;0;1;3;2;4;2;45;0;2;0;179;3;0;14;34;34;19;4;53;19;2;27;0;15;0;0;2;1;0;6;286;1;0;1;1;0;0;1;6;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;160;RUDEŠ;PROSTORIJE MJESNOG ODBORA;RUDEŠKA CESTA 71;1.416;951;951;936;15;0;0;0;3;9;2;42;2;5;0;200;1;0;10;43;43;44;7;72;21;1;26;0;23;0;0;6;1;0;5;359;0;0;0;1;0;3;5;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;161;RUDEŠ;OŠ RUDEŠ;JABLANSKA 51;1.386;998;925;919;6;1;1;2;7;4;1;44;1;10;0;177;1;0;6;22;33;35;5;53;13;0;22;1;23;0;8;5;0;0;1;431;4;0;1;3;0;2;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;162;RUDEŠ;OŠ RUDEŠ;JABLANSKA 51;1.627;1.050;1.048;1.041;7;0;4;2;2;1;0;48;3;1;0;220;1;0;10;55;61;35;10;77;29;1;28;0;23;0;5;3;0;0;6;400;3;0;3;0;0;3;6;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;163;RUDEŠ;OŠ RUDEŠ;JABLANSKA 51;1.419;898;898;883;15;1;3;7;4;2;4;32;1;5;3;211;0;0;8;32;31;35;9;88;20;2;46;1;17;1;0;5;0;3;7;295;0;0;1;3;1;2;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;164;SAMOBORÈEK;PROSTORIJE MJESNOG ODBORA;NOVA CESTA 37;1.007;675;675;666;9;0;0;2;2;1;3;22;1;2;0;96;0;0;5;18;16;16;4;50;11;1;15;0;16;0;0;4;2;0;5;362;2;0;0;0;0;5;5;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;165;SAMOBORÈEK;PROSTORIJE MJESNOG ODBORA;NOVA CESTA 37;1.106;700;700;690;10;0;4;0;7;2;1;16;1;3;0;114;2;0;2;24;16;13;3;45;9;2;24;1;4;0;0;4;0;1;3;380;3;0;0;0;0;5;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;166;SAMOBORÈEK;PROSTORIJE MJESNOG ODBORA;NOVA CESTA 37;1.813;1.193;1.193;1.171;22;1;0;4;3;6;0;47;1;2;0;177;0;1;7;39;30;13;11;101;20;1;25;0;39;0;2;4;0;1;7;608;4;0;1;0;2;5;7;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;167;SILVIJE STRAHIMIR KRANJÈEVIÆ;VIJADUKT;KRANJÈEVIÆEVA 2;816;560;560;549;11;0;1;2;1;1;0;23;1;2;0;82;2;0;2;23;12;22;2;49;13;2;12;0;7;0;0;2;0;0;2;266;3;1;2;2;0;6;2;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;168;SILVIJE STRAHIMIR KRANJÈEVIÆ;PROSTORIJE MJESNOG ODBORA;KRANJÈEVIÆEVA 4A;1.327;889;889;875;14;0;0;1;1;2;2;43;0;1;0;143;1;0;5;43;21;29;3;50;8;1;17;1;24;0;0;6;1;0;2;456;0;0;1;0;0;8;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;169;SILVIJE STRAHIMIR KRANJÈEVIÆ;OŠ KRALJA TOMISLAVA;NOVA CESTA 92;789;535;535;520;15;0;1;1;3;1;1;13;2;0;1;107;1;0;10;27;14;11;1;25;6;0;6;0;9;0;0;1;0;0;1;261;0;0;2;1;2;10;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;170;SILVIJE STRAHIMIR KRANJÈEVIÆ;OŠ KRALJA TOMISLAVA;NOVA CESTA 92;843;531;531;522;9;1;0;0;0;1;0;21;1;4;1;69;0;1;5;21;19;13;0;52;9;0;14;0;7;0;0;0;0;0;3;275;1;0;0;0;0;3;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;171;SILVIJE STRAHIMIR KRANJÈEVIÆ;OŠ KRALJA TOMISLAVA;NOVA CESTA 92;1.025;650;649;641;8;0;1;0;3;1;0;22;1;2;1;110;1;0;9;37;24;19;6;53;17;1;17;0;17;0;0;4;0;0;2;285;0;0;0;0;1;2;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;172;SILVIJE STRAHIMIR KRANJÈEVIÆ;OŠ KRALJA TOMISLAVA;NOVA CESTA 92;1.010;678;678;668;10;0;2;1;6;4;0;24;0;4;0;101;0;0;2;33;16;17;1;82;11;0;13;2;16;0;0;0;0;2;1;316;2;1;3;0;2;4;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;173;STARA TREŠNJEVKA;IX.GIMNAZIJA;DOBOJSKA 12;1.546;1.002;1.001;990;11;0;3;2;5;0;2;49;1;6;0;174;0;0;12;42;12;22;5;69;17;0;28;1;22;0;0;8;1;1;0;493;2;0;1;1;0;5;5;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;174;STARA TREŠNJEVKA;DRŽAVNA UPRAVA ZA ZAŠTITU I SPAŠAVANJE;NEHAJSKA 5;1.103;674;674;667;7;2;1;2;3;1;0;32;0;0;0;132;2;0;18;32;22;14;6;52;13;1;14;0;14;0;0;2;0;3;5;282;1;0;1;1;0;9;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;175;STARA TREŠNJEVKA;CENTAR ZA KULTURU TREŠNJEVKA (PREDVORJE PRIZEMLJE);PARK STARA TREŠNJEVKA 1;1.188;781;743;733;10;0;0;3;8;2;1;41;1;2;0;123;0;0;12;24;26;19;6;65;17;0;9;1;22;0;0;4;1;0;3;324;0;0;2;1;3;4;7;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;176;STARA TREŠNJEVKA;PROSTORIJE MJESNOG ODBORA (SOBA 5);PARK STARA TREŠNJEVKA 1;1.370;859;859;847;12;0;2;1;2;3;3;30;1;2;1;159;1;0;11;35;21;23;7;46;24;0;23;0;25;0;0;5;0;0;1;402;2;0;1;3;3;6;4;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;177;STARA TREŠNJEVKA;PROSTORIJE MJESNOG ODBORA (SOBA 2);PARK STARA TREŠNJEVKA 1;793;528;528;519;9;0;0;2;6;2;1;20;1;0;0;83;0;1;4;18;14;14;4;36;6;5;7;0;10;0;0;1;0;4;1;269;0;0;1;0;0;3;5;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;178;HORVATI - SREDNJACI;OŠ JOSIPA RAÈIÆA;SREDNJACI 30;1.222;833;833;821;12;0;0;2;3;2;3;38;0;3;1;136;1;1;5;28;7;20;1;69;21;1;19;2;18;0;1;4;1;1;2;425;0;0;1;0;0;2;0;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;179;HORVATI - SREDNJACI;OŠ JOSIPA RAÈIÆA;SREDNJACI 30;966;686;686;668;18;2;1;1;5;1;0;31;2;0;1;102;0;0;5;19;13;10;2;50;16;0;11;0;12;0;1;1;0;0;3;366;1;0;1;0;0;5;3;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;180;HORVATI - SREDNJACI;OŠ JOSIPA RAÈIÆA;SREDNJACI 30;869;593;593;584;9;0;2;2;2;3;1;19;0;1;0;87;0;2;2;30;12;8;3;41;10;0;6;0;17;0;1;5;1;0;3;319;2;0;0;0;0;3;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;181;HORVATI - SREDNJACI;OŠ JOSIPA RAÈIÆA;SREDNJACI 30;905;622;622;616;6;1;0;0;2;0;0;36;0;0;0;81;4;1;3;24;15;20;3;43;12;2;8;0;13;0;0;2;0;1;3;331;0;0;0;1;1;4;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;182;HORVATI - SREDNJACI;OŠ JOSIPA RAÈIÆA;SREDNJACI 30;1.089;731;729;718;11;0;1;1;7;2;0;24;0;3;0;103;1;1;4;27;9;19;2;68;12;1;8;1;19;0;1;4;0;0;3;383;0;0;1;2;0;4;4;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;183;HORVATI - SREDNJACI;OŠ JOSIPA RAÈIÆA;SREDNJACI 30;1.079;846;783;769;14;0;0;3;5;0;3;25;0;2;0;129;0;0;6;28;17;24;4;54;27;0;10;1;26;0;0;1;0;1;4;387;0;0;6;0;2;2;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;184;HORVATI - SREDNJACI;DOM ZDRAVLJA ZAGREB-ZAPAD-ZDRASTVENA STANICA;SREDNJACI 13;1.404;1.002;992;981;11;1;7;2;3;3;0;43;0;5;0;111;1;0;5;55;27;30;10;84;24;0;23;0;40;0;0;3;0;0;3;483;2;0;1;0;0;5;5;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;185;HORVATI - SREDNJACI;DJEÈJI VRTIÆ SREDNJACI;VLADIMIRA FILAKOVCA 2;982;680;680;673;7;0;1;3;5;3;3;33;0;2;0;107;1;3;8;27;17;11;4;35;14;0;22;0;26;1;0;0;1;1;4;325;1;0;4;0;0;8;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;186;HORVATI - SREDNJACI;DJEÈJI VRTIÆ SREDNJACI;VLADIMIRA FILAKOVCA 2;978;714;713;702;11;0;1;0;5;3;4;15;1;1;0;95;3;0;6;27;21;20;2;47;15;1;14;0;7;0;1;2;0;0;4;395;0;0;1;0;1;5;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;187;HORVATI-SREDNJACI;ZAJEDNIÈKE PROSTORIJE STANARA;JARUNSKA 6;1.142;810;810;795;15;0;0;0;5;1;2;36;4;0;0;117;2;0;5;27;20;33;1;83;26;1;16;0;22;0;0;0;0;0;5;378;2;0;1;0;0;2;2;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;188;KNEŽIJA;PROSTORIJE MJESNOG ODBORA;ALBAHARIJEVA 2;852;577;576;561;15;0;1;1;7;1;0;18;0;1;0;106;1;0;2;19;15;15;4;37;8;0;14;0;10;0;0;2;0;2;1;287;1;0;0;1;1;3;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;189;KNEŽIJA;PROSTORIJE MJESNOG ODBORA;ALBAHARIJEVA 2;875;621;621;607;14;1;1;3;7;4;1;26;0;3;1;89;0;0;6;28;12;12;3;31;1;0;8;1;13;0;2;3;1;1;4;331;3;0;2;1;0;4;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;190;KNEŽIJA;OŠ MATIJE GUPCA;DAVORINA BAZJANCA 2;858;598;598;588;10;0;1;0;3;0;0;17;0;1;4;84;0;0;3;19;11;7;3;44;11;0;16;0;14;0;5;0;0;0;2;332;1;0;3;0;0;3;4;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;191;KNEŽIJA;OŠ MATIJE GUPCA;DAVORINA BAZJANCA 2;961;684;684;676;8;0;0;0;2;0;0;32;0;1;0;115;1;0;6;33;15;24;4;63;16;1;10;0;16;0;0;1;0;2;2;326;1;0;1;0;0;1;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;192;KNEŽIJA;OŠ HORVATI;HORVAÆANSKA CESTA 6;1.419;903;903;888;15;0;0;0;2;2;1;34;0;0;1;157;0;0;7;52;19;19;5;48;21;1;22;1;20;0;0;3;0;1;8;451;2;1;0;0;0;2;5;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;193;KNEŽIJA;OŠ HORVATI;HORVAÆANSKA CESTA 6;1.198;750;750;735;15;0;1;0;6;0;2;40;0;0;1;135;0;1;9;31;23;22;3;41;28;0;21;0;28;0;4;6;0;1;1;315;3;0;2;0;0;7;1;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;194;KNEŽIJA;DJEÈJI VRTIÆ MATIJE GUPCA;BRAÆE CVIJIÆA 18;816;575;575;567;8;0;2;0;2;2;0;25;0;3;1;78;1;0;6;19;19;16;4;56;15;0;12;0;5;0;0;1;0;0;1;295;0;0;1;0;1;2;0;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;195;KNEŽIJA;PROSTORIJE MJESNOG ODBORA;HORVAÆANSKA CESTA 54;962;682;682;670;12;1;3;0;9;1;3;23;1;2;0;83;2;1;7;32;12;7;6;51;7;1;19;0;16;0;0;5;0;0;3;358;3;0;1;0;0;9;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;196;KNEŽIJA;DZ ZAGREB - ZAPAD- ZDRASTVENA STANICA  KNEŽIJA;RUDOLFA BIÆANIÆA 3;861;619;619;612;7;0;0;1;5;1;2;26;2;2;2;105;4;10;4;23;25;13;2;37;3;2;15;0;12;0;0;2;0;0;1;308;0;0;0;0;0;4;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;197;KNEŽIJA;PROSTORIJE MJESNOG ODBORA;HORVAÆANSKA CESTA 54;736;543;543;534;9;0;0;0;3;1;1;25;0;2;0;81;0;1;11;19;13;15;3;40;15;1;7;1;14;0;2;0;0;0;0;272;0;0;0;0;0;2;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;198;BAN KEGLEVIÆ;PROSTORIJE MJESNOG ODBORA;TRG FRANCUSKE REPUBLIKE 11;1.335;926;869;858;11;1;1;0;2;2;1;22;0;0;2;150;0;0;12;40;17;20;5;77;17;0;15;0;45;0;1;3;0;1;0;406;3;0;1;0;2;6;1;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;199;BAN KEGLEVIÆ;PROSTORIJE MJESNOG ODBORA;BLEIWEISOVA 24;913;571;571;562;9;0;1;1;2;1;1;21;0;2;0;70;2;0;5;25;16;9;2;59;11;1;19;0;14;0;0;3;0;0;2;288;0;0;0;0;1;4;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;200;BAN KEGLEVIÆ;PROSTORIJE MJESNOG ODBORA;BLEIWEISOVA 24;1.320;909;909;894;15;0;2;0;4;4;1;31;0;1;0;139;1;0;3;48;21;25;5;78;22;2;12;0;19;0;0;1;0;0;3;457;2;0;1;2;0;2;5;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;201;BARTOL KAŠIÆ;PROSTORIJE MJESNOG ODBORA;SELSKA CESTA 3;1.048;708;708;703;5;0;0;1;6;1;0;31;2;2;1;111;0;0;8;36;20;20;1;43;14;0;19;0;16;0;0;2;0;3;8;340;2;0;1;0;2;8;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;202;BARTOL KAŠIÆ;PROSTORIJE MJESNOG ODBORA;SELSKA CESTA 3;701;464;464;454;10;0;0;1;7;0;1;25;1;0;0;81;2;0;4;23;19;8;3;36;10;0;11;0;12;0;0;0;0;0;1;206;0;0;0;0;0;2;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;203;BARTOL KAŠIÆ;OŠ IVANA CANKARA;CANKAROVA 10;1.285;924;851;844;7;0;1;0;3;5;1;49;3;6;0;136;0;1;5;37;22;14;5;72;13;2;23;0;20;1;1;4;0;0;3;400;2;0;1;1;1;3;5;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;204;GORNJA KUSTOŠIJA;"DJEÈJI VRTIÆ ""PETAR PAN""";LENDAVSKA 7;1.562;1.039;1.039;1.028;11;0;1;2;12;5;1;49;1;6;0;185;2;2;22;43;56;29;6;96;27;3;34;1;13;0;2;7;3;1;0;399;1;0;2;3;2;7;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;205;GORNJA KUSTOŠIJA;"ÈITAONICA ""VLADIMIR NAZOR""";TRG HRVATSKIH OBRAMBENIH SNAGA 8;694;462;457;444;13;0;1;3;3;1;0;8;0;2;1;85;1;0;12;26;16;12;6;33;23;0;22;0;6;0;0;1;0;0;2;167;0;1;0;3;2;4;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;206;GORNJA KUSTOŠIJA;PODRUÈNA ŠKOLA KUSTOŠIJA;KUSTOŠIJANSKA 272;1.221;789;787;770;17;1;0;2;8;7;3;33;0;0;0;118;0;1;13;29;35;21;2;62;20;2;25;0;19;0;0;3;0;3;3;354;1;0;3;0;0;1;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;207;GORNJA KUSTOŠIJA;PODRUÈNA ŠKOLA KUSTOŠIJA;KUSTOŠIJANSKA 272;1.338;875;853;839;14;0;2;3;5;4;2;31;2;3;0;180;3;0;16;36;25;29;6;49;29;1;21;0;15;1;1;3;0;0;5;350;1;0;3;0;3;5;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;208;GORNJA KUSTOŠIJA;PODRUÈNA ŠKOLA KUSTOŠIJA;KUSTOŠIJANSKA 272;1.519;985;964;953;11;0;1;2;9;1;0;31;2;2;0;167;4;1;12;28;57;30;6;87;23;5;39;3;8;0;1;4;0;0;8;400;1;0;5;1;5;5;5;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;209;JELENOVAC;PODRUÈNI URED ÈRNOMEREC;TRG FRANCUSKE REPUBLIKE 15;562;383;373;366;7;0;0;0;2;2;2;6;1;1;0;61;1;0;2;15;11;8;3;26;14;0;7;0;5;0;0;1;0;1;2;191;0;0;3;0;0;1;0;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;210;JELENOVAC;KB SESTARA MILOSRDNICA;VINOGRADSKA CESTA 29;838;523;523;518;5;1;0;1;2;2;2;32;0;1;1;95;3;1;3;28;26;9;0;46;11;2;8;1;17;0;1;0;0;1;1;216;0;0;1;1;0;1;1;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;211;JELENOVAC;PODRUÈNI URED ÈRNOMEREC;TRG FRANCUSKE REPUBLIKE 15;1.169;759;759;753;6;0;1;1;9;3;1;32;0;0;0;167;1;0;0;40;17;27;6;56;19;1;10;0;19;0;0;4;0;1;1;324;0;0;1;1;2;5;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;212;KUSTOŠIJA - CENTAR;PROSTORIJE MJESNOG ODBORA;ILICA 259;1.286;821;820;807;13;1;0;2;3;1;0;32;1;3;0;157;1;1;8;45;30;23;5;67;20;0;16;0;17;0;3;4;0;1;6;346;0;0;0;0;1;6;5;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;213;KUSTOŠIJA - CENTAR;OŠ KUSTOŠIJA;SOKOLSKA 7;1.075;652;652;636;16;1;2;1;5;1;0;27;0;3;2;95;0;0;16;32;29;22;6;55;12;2;20;2;7;0;0;0;0;1;1;283;1;0;0;0;2;3;5;0;;;;;;;;;
