Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;78;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;TRG BANA JOSIPA JELAÈIÆA 25;888;600;600;592;8;0;0;2;3;0;13;2;5;1;85;4;10;33;14;121;28;10;1;0;11;5;4;235;1;2;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;79;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA 23;842;554;554;546;8;0;0;3;2;1;18;0;2;0;69;1;16;38;2;148;30;12;0;0;6;5;0;188;1;0;4;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;80;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA 23;784;515;515;509;6;0;0;1;1;1;5;1;6;1;89;6;11;40;3;102;16;16;0;0;6;0;0;200;0;2;1;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;81;OSIJEK;OSNOVNA ŠKOLA JAGODE TRUHELKE;CRKVENA 23;983;589;589;586;3;1;0;1;2;1;8;3;2;1;79;1;20;36;4;160;32;10;0;0;8;1;1;212;0;2;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;82;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;KRSTOVA 97B;680;450;450;443;7;0;0;0;1;6;10;1;3;2;71;1;7;25;12;109;24;7;0;0;10;3;3;139;2;1;0;2;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;83;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;KRSTOVA 97B;687;428;427;422;5;1;0;3;3;1;6;0;2;0;62;1;7;30;8;115;23;2;0;0;7;2;0;146;1;0;0;2;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;84;OSIJEK;OSNOVNA ŠKOLA LJUDEVITA GAJA;KRSTOVA 99;668;443;443;435;8;0;0;0;5;6;14;3;2;0;109;1;4;25;4;108;26;9;0;0;4;1;0;111;3;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;85;OSIJEK;OSNOVNA ŠKOLA LJUDEVITA GAJA;KRSTOVA 99;804;450;450;440;10;0;3;0;4;3;8;2;4;1;70;1;5;32;18;136;15;1;0;0;2;1;5;126;0;0;0;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;86;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;ZELENO POLJE 5;892;554;554;549;5;1;3;2;3;1;11;1;2;0;102;1;9;35;7;133;27;8;0;0;20;1;1;171;3;1;1;2;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;87;OSIJEK;GRADSKA ÈETVRT DONJI GRAD;ZELENO POLJE 5;1.009;632;632;624;8;1;1;1;1;0;13;3;1;0;105;7;13;38;16;167;32;6;1;0;10;3;7;190;0;1;2;1;4;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;88;JOSIPOVAC;OSNOVNA ŠKOLA JOSIPOVAC;OSJEÈKA 77A;907;539;539;531;8;2;1;2;7;0;9;4;2;2;137;2;4;65;21;110;21;3;0;0;4;4;1;127;0;0;0;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;89;JOSIPOVAC;OSNOVNA ŠKOLA JOSIPOVAC;OSJEÈKA 77A;1.053;671;671;667;4;0;2;1;1;0;11;2;2;1;174;13;6;69;24;136;32;8;3;0;6;3;1;167;0;3;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;90;JOSIPOVAC;MJESNI ODBOR JOSIPOVAC - PRIZEMLJE;OSJEÈKA 66;798;524;524;520;4;0;1;0;3;3;13;2;1;3;132;1;9;46;31;114;7;2;0;1;3;0;0;146;0;2;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;91;JOSIPOVAC;MJESNI ODBOR JOSIPOVAC - I. KAT;OSJEÈKA 66;953;562;562;555;7;1;2;3;2;5;13;5;2;3;108;6;14;40;19;123;17;6;0;0;13;3;4;163;3;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;92;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;JOSIPA JURJA STROSSMAYERA 2;1.057;666;666;658;8;0;2;2;3;0;14;3;5;0;138;2;7;62;30;128;33;3;0;0;8;3;1;208;2;1;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;93;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;JOSIPA JURJA STROSSMAYERA 2;946;583;583;578;5;1;0;2;1;3;20;6;1;1;124;4;5;51;17;165;19;3;0;0;3;4;0;147;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;94;VIŠNJEVAC;MJESNI ODBOR VIŠNJEVAC;JOSIPA JURJA STROSSMAYERA 2;954;592;592;580;12;1;1;0;1;2;19;6;3;2;109;0;5;37;24;154;20;7;0;1;14;4;0;161;0;2;1;1;5;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;95;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;878;539;539;530;9;0;0;1;4;1;19;0;1;2;104;4;4;45;6;153;31;8;0;0;8;2;2;132;0;0;0;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;96;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;698;464;464;458;6;0;0;0;4;0;6;3;1;1;87;2;7;30;9;146;20;9;0;1;5;1;1;122;1;1;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;97;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;875;572;572;565;7;0;0;1;0;3;14;3;4;0;123;5;6;43;20;141;23;3;0;0;4;0;0;169;0;2;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;98;VIŠNJEVAC;OSNOVNA ŠKOLA VIŠNJEVAC;CRNI PUT 41;640;396;396;395;1;0;0;0;1;1;12;4;1;0;88;0;9;44;9;110;17;1;0;0;5;0;1;91;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;99;BRIJEŠÆE;OSNOVNA ŠKOLA VLADIMIR NAZOR PODRUÈNA ŠKOLA BRIJEŠÆE;ZELENA BB;1.299;626;625;619;6;1;0;2;6;1;7;3;0;1;127;2;7;38;13;195;14;3;1;0;3;3;0;186;1;0;2;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;100;OSIJEK;MJESNI ODBOR CVJETNO;VIJENAC LIPA 36;1.638;1.021;1.021;1.008;13;1;1;5;4;2;10;6;5;1;204;3;21;55;17;293;42;7;2;0;17;2;1;304;0;0;0;2;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;101;BRIJEST;MJESNI ODBOR BRIJEST;JUŽNO PREDGRAÐE 54;1.055;732;732;720;12;0;1;0;2;3;9;3;6;1;149;2;13;67;3;201;34;6;1;0;8;4;1;199;1;1;2;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;102;PODRAVLJE;MJESNI ODBOR OSIJEK - LIJEVA OBALA;PRINCA EUGENA SAVOJSKOG 38;507;335;334;329;5;2;0;1;1;1;2;0;1;0;96;1;3;28;3;91;9;1;0;0;6;2;1;76;0;0;2;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;103;TENJA;OSNOVNA ŠKOLA TENJA;SVETE ANE 2;1.507;910;910;897;13;3;1;0;0;5;21;0;5;0;194;5;11;69;26;179;59;5;0;0;8;1;1;298;0;2;1;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;104;TENJA;OSNOVNA ŠKOLA TENJA;SVETE ANE 2;1.499;1.029;1.029;1.007;22;0;0;2;4;2;26;3;10;0;179;0;13;88;20;229;39;10;0;10;0;6;1;350;0;0;14;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;105;TENJA;MJESNI ODBOR TENJA;VLADKA MAÈEKA 20;1.087;592;592;587;5;0;2;2;3;0;6;1;0;2;134;1;5;53;9;159;18;4;0;0;0;7;0;181;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;106;TENJA;MJESNI ODBOR TENJA;VLADKA MAÈEKA 20;767;412;412;402;10;0;1;0;1;1;6;4;2;1;49;1;6;34;5;75;14;1;0;0;5;1;1;190;1;0;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;107;TENJA;MJESNI ODBOR TENJA;VLADKA MAÈEKA 20;776;443;442;429;13;0;4;1;2;0;8;1;1;0;51;1;4;25;8;66;27;6;0;0;4;4;3;208;1;0;0;2;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;108;KLISA;MJESNI ODBOR KLISA;VUKOVARSKA 48;129;69;69;67;2;0;0;1;0;0;2;0;0;0;2;0;1;10;0;25;4;0;0;0;0;0;0;22;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;109;SARVAŠ;MJESNI ODBOR SARVAŠ;OSJEÈKA 64;1.488;942;942;928;14;7;3;2;3;1;18;7;4;2;206;12;8;43;15;282;32;6;0;1;6;0;4;263;0;0;1;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;110;TVRÐAVICA;POSLOVNI PROSTOR ŽIVKA BRKIÆA;TVRÐAVICA 158;527;343;343;340;3;0;0;4;0;1;7;3;0;0;52;0;1;84;1;81;17;1;0;0;3;2;0;82;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;1;BAKIÆ;OSNOVNA ŠKOLA BAKIÆ;BAKIÆ;485;334;334;327;7;0;0;1;5;1;7;2;1;29;100;18;35;2;0;57;0;0;0;0;1;3;0;64;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;2;BISTRICA;DOM MJESNOG ODBORA;BISTRICA;151;107;90;90;0;0;1;1;1;1;6;0;1;0;26;3;2;1;1;7;4;1;0;0;2;0;0;31;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;3;DONJI MELJANI;OSNOVNA ŠKOLA;DONJI MELJANI;241;150;150;149;1;0;0;0;0;0;1;1;0;4;45;1;6;2;0;34;4;0;0;0;0;1;1;49;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;4;GOLENIÆ;MJESNI DOM;GOLENIÆ;35;18;18;18;0;0;0;0;0;0;0;2;0;0;7;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;5;GORNJI MIHOLJAC;DOM MJESNOG ODBORA;GORNJI MIHOLJAC;238;167;167;162;5;1;0;0;1;0;2;0;0;2;66;3;4;1;3;34;2;0;0;0;0;1;0;42;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;6;IVANBRIJEG;KUÆA U VLASNIŠTVU OBITELJI JEÐUD;IVANBRIJEG 20;36;25;25;22;3;1;0;0;1;0;0;0;0;1;7;0;0;0;0;5;0;0;0;0;0;0;1;6;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;7;KOZICE;DOM MJESNOG ODBORA;KOZICE;479;307;305;302;3;0;1;3;2;1;10;1;1;3;139;6;5;7;1;41;0;1;0;0;0;4;2;71;1;0;1;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;8;LUKAVAC;KUÆA U VLASNIŠTVU OBITELJI KUFNER;LUKAVAC 55;88;57;57;57;0;0;3;0;0;0;0;1;0;0;36;0;4;1;1;3;0;0;0;0;0;0;1;6;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;9;MARKOVO;KUÆA U VLASNIŠTVU OBITELJI KORMAN;ULICA SVETOG MARKA KRIŽEVÈANINA 30;96;83;77;76;1;0;0;0;0;0;0;1;0;1;28;2;2;0;2;13;0;0;0;0;0;0;0;27;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;10;MEDINCI;DOM MJESNOG ODBORA;MEDINCI;198;112;112;107;5;1;0;1;3;0;3;2;0;1;26;12;3;0;0;6;2;0;0;0;0;2;0;45;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;11;NOVI SENKOVAC;OSNOVNA ŠKOLA;NOVI SENKOVAC;300;130;130;124;6;1;0;0;0;0;4;2;0;3;46;7;4;5;1;29;3;0;0;0;0;1;0;17;0;0;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;12;RADOSAVCI;KUÆA U VLASNIŠTVU OBITELJI FODOR;RADOSAVCI 14;93;72;71;67;4;2;2;4;0;1;0;0;0;0;21;0;0;0;1;8;3;0;0;0;0;0;0;25;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;13;SLADOJEVAÈKI LUG;MJESNI DOM;SLADOJEVAÈKI LUG;85;63;63;63;0;0;0;0;0;2;1;0;0;0;20;2;1;1;1;18;5;0;0;0;0;0;0;9;0;1;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;14;SLADOJEVCI;DOM MJESNOG ODBORA;SLADOJEVCI;689;429;422;409;13;8;2;2;5;4;14;7;0;5;130;26;9;16;3;54;1;0;1;0;0;6;1;109;2;0;2;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;15;SLATINA;POSLOVNI PROSTOR TVRTKE FMT FIŠER;BRAÆE RADIÆA 181;730;437;437;425;12;1;0;1;2;0;10;3;4;1;184;3;6;5;4;61;7;0;0;0;1;1;1;127;2;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;16;SLATINA;HRVATSKI DOM;BRAÆE RADIÆA 4;1.398;867;867;854;13;1;1;1;2;1;24;0;3;1;212;6;26;24;9;113;25;3;1;0;4;2;1;387;1;1;3;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;17;SLATINA;"DJEÈJI VRTIÆ ""ZEKO""";TRG ZBORA NARODNE GARDE BB;766;473;473;467;6;0;0;0;5;1;11;2;3;1;100;3;27;9;2;42;12;2;0;0;8;1;0;235;2;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;18;SLATINA;ZGRADA NEVLADINIH ORGANIZACIJA I GRADSKOG CRVENOG KRIŽA;BRAÆE RADIÆA 13A;897;521;521;517;4;1;0;0;1;0;15;1;1;5;118;9;7;10;3;103;8;2;0;0;0;1;1;219;2;7;1;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;19;SLATINA;VATROGASNI DOM;ANTE KOVAÈIÆA 2;720;440;440;435;5;0;0;1;1;3;8;2;2;5;82;4;7;15;7;95;11;1;1;0;2;2;1;184;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;20;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;1.483;841;841;832;9;3;0;6;4;2;16;3;3;4;187;8;32;7;14;150;23;2;0;0;3;4;0;357;0;0;1;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;21;SLATINA;OSNOVNA ŠKOLA EUGENA KUMIÈIÆA;DOBRIŠE CESARIÆA 24;1.067;662;661;656;5;1;0;3;7;1;16;2;2;7;181;8;16;8;7;107;13;2;0;0;2;1;0;269;1;0;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;22;SLATINA;OSNOVNA ŠKOLA JOSIPA KOZARCA;NIKOLE ŠUBIÆA ZRINSKOG 2;1.552;891;891;878;13;0;1;4;4;2;22;7;4;6;223;8;29;16;26;132;30;2;0;0;4;2;2;349;1;0;1;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;SLATINA;23;SLATINA;"DOM MJESNOG ODBORA ""VLADIMIR NAZOR""";VLADIMIRA NAZORA BB;937;619;582;576;6;0;2;2;7;2;24;1;3;2;175;12;13;5;2;129;10;1;0;0;1;2;0;180;1;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;1;VALPOVO;ŠUMARIJA VALPOVO;BANA JOSIPA JELAÈIÆA 4;652;415;415;411;4;0;1;0;3;0;6;2;2;1;103;5;9;14;3;86;11;0;0;0;15;0;2;146;0;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;2;VALPOVO;DVORAC D.O.O.;MATIJE ANTUNA RELJKOVIÆA 16;621;442;442;436;6;0;0;1;3;1;14;1;2;1;97;1;10;7;1;85;8;2;1;1;11;4;0;181;0;1;1;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;3;VALPOVO;SREDNJA ŠKOLA;ULICA DR. FRANJE TUÐMANA 2;677;495;495;487;8;0;0;2;1;0;21;1;1;0;86;7;4;8;8;99;20;1;0;0;11;0;3;208;0;0;0;1;5;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;4;VALPOVO;DOM TEHNIKE, ULAZ 1;BRAÆE RADIÆA 34;767;493;493;490;3;0;1;1;2;2;21;7;0;1;105;3;11;8;8;118;22;1;1;0;11;2;5;159;0;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;5;VALPOVO;OSNOVNA ŠKOLA MATIJE PETRA KATANÈIÆA;IVE LOLE RIBARA 3;778;523;523;518;5;0;1;4;2;1;9;6;3;1;130;2;10;8;6;83;33;2;0;0;2;0;2;211;0;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;6;VALPOVO;GRADSKA KNJIŽNICA I ÈITAONICA VALPOVO;JOSIPA JURJA STROSSMAYERA 36;661;446;446;443;3;0;1;1;0;0;9;6;2;1;102;1;10;8;7;106;14;4;0;0;3;2;0;164;0;1;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;7;VALPOVO;DOM TEHNIKE VALPOVO, ULAZ 2;BRAÆE RADIÆA 34;851;492;492;488;4;0;1;2;2;1;14;5;0;1;123;11;10;7;11;133;15;0;0;1;7;7;0;135;0;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;8;VALPOVO;VATROGASNI DOM;MATIJE GUPCA 50;775;438;438;436;2;0;0;1;1;2;13;1;4;1;100;5;0;11;7;124;17;0;0;1;6;0;0;141;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;9;VALPOVO;HAK;MATIJE GUPCA 48;757;552;552;541;11;0;0;0;0;0;15;6;1;1;118;4;6;11;15;137;28;1;0;0;8;3;1;183;0;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;10;LADIMIREVCI;OSNOVNA ŠKOLA LADIMIREVCI;ÐUKE MARIÈIÆA-MUNJE 21;625;428;428;421;7;0;1;0;1;1;2;6;1;2;115;0;9;6;12;111;22;3;0;0;6;2;5;115;0;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;11;LADIMIREVCI;DRUŠTVENI DOM;TRG FABIJANA ŠOVAGOVIÆA 4;654;438;438;432;6;0;2;0;3;2;5;15;3;5;125;4;4;6;7;99;16;3;0;0;5;10;1;115;0;1;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;12;MARJANÈACI;DRUŠTVENI DOM;MATIJE GUPCA 14;266;212;212;210;2;0;0;0;1;0;2;3;0;0;66;1;1;1;0;88;9;8;1;0;0;0;0;29;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;13;IVANOVCI;DRUŠTVENI DOM;PETRA PRERADOVIÆA 53A;384;272;272;269;3;0;0;1;0;0;7;6;1;0;79;0;4;4;2;94;7;2;0;0;0;3;2;56;0;0;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;14;ZELÈIN;DRUŠTVENI DOM;OSLOBOÐENJA 4;274;206;206;202;4;1;0;1;6;0;7;1;1;1;52;2;1;1;2;72;6;2;0;0;3;8;0;34;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;15;HARKANOVCI;OSNOVNA ŠKOLA HARKANOVCI;ŠKOLSKA 6;453;328;328;320;8;2;0;1;1;1;4;3;2;2;136;1;1;7;1;100;5;1;0;0;1;3;1;45;0;1;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;16;ŠAG;OSNOVNA ŠKOLA ŠAG;BRAÆE RADIÆA 67;371;274;274;271;3;0;0;0;1;0;3;1;0;1;94;8;2;4;0;80;7;0;0;0;4;0;0;64;1;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VALPOVO;17;NARD;DRUŠTVENI DOM;BRAÆE RADIÆA 18;451;296;296;289;7;0;1;1;3;0;2;6;0;5;70;6;1;3;1;109;9;0;0;0;1;1;0;70;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VIROVITICA;1;ÈEMERNICA;DOM MJESNOG ODBORA ÈEMERNICA;KARDINALA FRANJE KUHARIÆA 1;587;424;406;401;5;0;0;0;2;0;12;1;0;3;132;8;9;14;4;30;8;2;0;0;1;3;2;167;0;0;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VIROVITICA;2;GOLO BRDO;DOM MJESNOG ODBORA GOLO BRDO;GOLO BRDO 78;313;229;229;227;2;0;1;2;3;4;9;0;1;1;80;6;4;16;3;19;5;0;0;0;0;1;1;68;1;1;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VIROVITICA;3;JASENAŠ;DOM MJESNOG ODOBRA JASENAŠ;JASENAŠ 66;112;51;51;47;4;0;0;1;0;0;1;0;0;0;10;1;0;0;0;1;1;0;0;0;1;1;2;27;0;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VIROVITICA;4;KORIJA;PODRUÈNA ŠKOLA KORIJA;NAZOROVA CESTA 102;749;467;467;462;5;1;1;0;3;2;22;3;3;2;154;13;3;17;5;26;6;3;0;0;1;3;1;190;2;0;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VIROVITICA;5;MILANOVAC;PODRUÈNA ŠKOLA MILANOVAC;30.SVIBNJA 31;1.580;974;972;956;16;0;2;3;8;6;44;3;5;3;263;18;27;41;10;52;33;10;0;1;10;6;3;396;3;2;4;2;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;VIROVITICA;6;PODGORJE;DOM MJESNOG ODBORA PODGORJE;VIROVITIÈKA 3;757;523;523;519;4;0;1;0;7;2;15;4;2;1;142;8;12;24;4;16;7;1;1;0;2;7;1;255;3;0;0;2;2;;;;;;;;;;;;;;;;;
