Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;16;biraèko mjesto broj 16 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;2;2;2;0;0;0;0;0;0;0;1;0;0;0;1;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;17;biraèko mjesto broj 17 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;18;biraèko mjesto broj 18 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;19;biraèko mjesto broj 19 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;20;biraèko mjesto broj 20 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;21;biraèko mjesto broj 21 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;22;biraèko mjesto broj 22 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;23;biraèko mjesto broj 23 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;24;biraèko mjesto broj 24 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;25;biraèko mjesto broj 25 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
