Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;27;KOZALA;PROSTORIJE MO;VOLÈIÆEV TRG 2;945;572;572;561;11;1;4;18;6;1;3;72;1;3;11;10;10;42;4;0;17;0;24;18;0;310;0;0;0;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;28;KOZALA;PROSTORIJE MO;VOLÈIÆEV TRG 2;1.425;858;857;843;14;0;6;39;4;1;2;90;3;12;13;15;20;74;1;0;19;0;45;35;1;458;4;0;0;1;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;29;BRAŠÆINE - PULAC;"OŠ ""BELVEDER""";KOZALA 41;985;655;655;636;19;2;10;24;0;4;5;133;2;6;6;13;11;49;11;0;13;1;19;25;0;291;1;1;4;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;30;BRAŠÆINE - PULAC;"OŠ ""BELVEDER""";KOZALA 41;949;550;550;542;8;0;6;23;0;2;6;118;0;5;14;8;19;33;2;1;14;0;22;23;0;236;2;0;2;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;31;DRENOVA;PROSTORIJE MO;CVETKOV TRG 1;1.143;702;702;694;8;0;1;14;7;1;1;103;2;3;15;8;17;55;4;0;15;0;33;40;1;359;4;0;1;4;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;32;DRENOVA;PROSTORIJE MO;CVETKOV TRG 1;1.124;703;703;694;9;2;7;32;7;1;7;113;0;8;17;11;18;47;8;0;14;0;17;41;0;333;3;0;5;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;33;DRENOVA;"PROSTORIJE ""LINGUAE"" ŠKOLE STRANIH JEZIKA";CVETKOV TRG 1;1.072;670;670;661;9;0;3;20;5;2;3;103;1;7;9;22;17;37;1;1;14;0;16;41;3;348;1;0;1;4;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;34;DRENOVA;KULTURNI DOM NA LOKVI;DRENOVSKI PUT 176;1.696;1.041;1.041;1.022;19;1;6;42;3;5;7;122;6;8;20;30;38;65;9;2;23;1;29;65;4;516;4;0;5;6;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;35;DRENOVA;DVD DRENOVA;CVETKOV TRG 1;1.738;1.086;1.085;1.074;11;1;5;19;8;2;1;190;4;9;29;16;37;68;9;1;14;1;39;70;9;526;1;1;5;1;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;36;ŠKURINJE;"OŠ ""IVAN ZAJC""";ŠKURINJSKA CESTA 7/A;1.465;880;880;873;7;1;1;21;5;2;5;123;7;8;20;13;17;50;5;2;6;1;34;55;2;481;2;0;2;5;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;37;ŠKURINJE;"OŠ ""IVAN ZAJC""";ŠKURINJSKA CESTA 7/A;1.310;789;789;779;10;2;5;14;6;2;3;99;5;6;11;17;27;51;4;0;14;0;18;40;6;441;0;0;3;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;38;ŠKURINJE;"OŠ ""IVAN ZAJC""";ŠKURINJSKA CESTA 7/A;1.289;809;807;786;21;0;7;19;3;0;3;103;2;4;12;18;20;62;2;0;7;0;26;40;2;444;4;1;2;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;39;ŠKURINJE;"OŠ ""IVAN ZAJC""";ŠKURINJSKA CESTA 7/A;1.104;665;663;656;7;0;3;10;6;2;3;88;4;2;5;7;35;59;3;0;10;0;21;40;2;351;1;0;2;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;40;ŠKURINJSKA DRAGA;GEODETSKI ZAVOD RIJEKA;F. KRESNIKA 33;1.151;682;682;674;8;0;5;27;5;4;4;102;1;12;7;12;23;49;3;1;12;0;14;35;3;346;1;0;2;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;41;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAÈEVA DRAGA 13;848;512;512;510;2;1;2;13;4;0;1;57;0;2;6;7;5;28;5;0;10;0;19;29;0;316;1;0;4;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;42;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAÈEVA DRAGA 13;1.267;667;666;655;11;1;2;28;4;6;2;109;5;3;13;9;26;29;6;7;11;3;18;30;4;327;6;0;0;4;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;43;ŠKURINJSKA DRAGA;PROSTORIJE MO;POREÈKA 94;983;632;627;614;13;0;6;17;0;1;3;103;3;11;6;9;17;29;4;2;9;0;17;35;2;332;3;0;1;0;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;44;OREHOVICA;PROSTORIJE MO;KALINA 2;477;321;321;318;3;0;0;9;1;2;0;60;0;1;9;9;11;17;0;0;0;0;5;12;3;175;0;0;2;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;45;PAŠAC;DOM PAŠAC;BALDE FUÆKA 39;356;247;247;245;2;0;1;15;0;2;1;27;3;0;4;8;7;12;2;1;5;0;9;14;2;126;3;0;0;0;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;46;SVILNO;DOM KULTURE SVILNO;SVILNO 82;755;497;497;490;7;0;3;9;35;3;2;73;2;6;11;13;17;29;4;0;7;0;12;20;3;226;3;1;0;6;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;47;BRAJDA;PROSTORIJE MO;POMERIO 26;1.068;570;570;565;5;0;6;24;3;1;4;67;2;3;10;3;9;40;2;1;13;0;30;32;0;298;8;1;4;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;48;BRAJDA;EKONOMSKA ŠKOLA MIJE MIRKOVIÆA;IVANA FILOPOVIÆA 2;1.163;646;646;639;7;0;1;28;3;0;2;77;3;4;5;8;20;41;2;1;20;0;27;32;1;357;2;1;0;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;49;BRAJDA;EKONOMSKA ŠKOLA MIJE MIRKOVIÆA;IVANA FILIPOVIÆA 2;1.127;646;646;635;11;0;7;18;5;2;3;81;3;4;8;7;19;48;2;0;13;1;28;41;4;330;0;0;5;0;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;50;DOLAC;PRVA RIJEÈKA GIMNAZIJA;FRANA KURELCA 1;811;454;454;452;2;0;3;16;6;3;1;58;1;5;8;6;20;30;3;0;6;0;11;28;0;242;1;0;1;3;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;51;LUKA;PROSTORIJE MO;VERDIJEVA 1;1.420;828;828;813;15;3;7;40;2;2;2;113;0;7;16;18;28;52;5;0;27;1;31;35;1;403;4;0;5;2;9;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;52;ŠKOLJIÆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUÈARIÆA 1;646;320;320;317;3;0;1;11;1;0;1;49;1;4;4;4;5;16;3;0;4;0;5;16;2;180;1;0;2;0;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;53;ŠKOLJIÆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUÈARIÆA 1;940;533;533;524;9;0;5;16;2;2;0;74;2;6;10;11;9;41;4;0;6;0;20;17;0;292;0;0;2;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;54;MLAKA;OŠ PODMURVICE;PODMURVICE 6;1.423;828;828;811;17;1;3;27;0;1;3;136;3;3;4;28;25;62;2;2;20;1;22;47;3;406;3;0;0;5;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;55;MLAKA;OŠ PODMURVICE;PODMURVICE 6;1.282;808;808;795;13;1;8;21;1;2;3;106;6;4;19;10;18;66;3;1;20;0;20;33;1;444;4;0;0;0;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;56;MLAKA;PROSTORIJE MO;GIUSEPPEA DUELLE 2/B;1.083;733;733;727;6;0;5;20;3;2;2;105;3;9;12;14;24;47;6;1;12;0;23;26;5;393;3;0;4;2;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;57;BANDEROVO;MEDICINSKI FAKULTET;BRAÆE BRANCHETTA 20;907;499;499;484;15;0;2;13;3;0;0;67;2;1;8;7;8;29;1;1;14;0;15;26;3;278;1;0;0;4;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;58;BANDEROVO;PROSTORIJE MO;RUDOLFA TOMŠIÆA 15;1.108;659;659;654;5;1;3;22;6;3;1;129;2;3;11;7;12;31;7;1;14;0;23;28;2;329;3;0;4;7;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;59;POTOK;PROSTORIJE MO;MILANA BUTKOVIÆA 2;1.363;875;875;858;17;1;6;28;4;1;1;125;5;6;10;15;29;72;3;0;17;1;39;35;6;439;6;0;3;1;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;60;PODMURVICE;PRAVNI FAKULTET;HAHLIÆ 6;1.096;665;663;650;13;0;2;23;4;2;3;88;9;3;11;21;27;31;1;2;11;1;16;38;4;344;3;1;0;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;61;PODMURVICE;PRAVNI FAKULTET;HAHLIÆ 6;1.733;1.086;1.083;1.072;11;1;10;30;6;2;5;120;9;4;19;35;28;68;6;0;13;0;42;56;6;589;10;1;5;6;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;62;PODMURVICE;PROSTORIJE MO;DUBROVAÈKA 2;1.315;814;809;795;14;3;2;24;7;2;4;133;2;3;12;18;24;47;5;1;14;1;27;44;2;412;2;0;0;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;63;PODMURVICE;"DJEÈJI VRTIÈ ""PODMURVICE""";CAVTATSKA 4;1.214;763;761;752;9;0;5;23;5;1;1;123;6;4;12;21;19;49;4;2;13;0;11;46;4;388;3;0;1;5;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;64;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ÈURBEGA 18;1.084;603;603;589;14;1;2;14;2;1;2;100;1;5;6;5;7;50;7;1;6;2;21;32;4;310;2;0;1;4;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;65;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ÈURBEGA 18;1.294;775;774;766;8;0;2;28;3;0;0;122;4;8;7;16;27;51;6;3;19;1;23;44;2;390;4;0;1;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;66;SVETI NIKOLA;PROSTORIJE MO;ZAMETSKA 6;1.124;658;657;645;12;0;4;21;3;1;0;64;3;5;24;12;13;55;1;2;14;0;14;36;0;362;1;2;1;4;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;67;SVETI NIKOLA;PROSTORIJE MO;ZAMETSKA 6;1.184;762;762;745;17;0;2;28;6;1;3;103;8;4;15;13;20;42;2;0;15;1;18;37;3;410;3;1;3;3;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;68;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1.442;918;917;905;12;0;4;30;4;3;1;151;3;4;13;15;25;65;11;4;21;0;27;48;3;459;3;0;3;2;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;69;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1.119;770;751;746;5;0;0;14;3;1;2;86;1;2;11;16;15;51;3;2;12;0;22;45;0;439;3;1;5;9;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;70;SVETI NIKOLA;"DJEÈJI VRTIÆ ""KRNJEVO""";KARASOVA 4;1.283;783;780;769;11;0;4;30;4;3;3;113;2;4;10;15;30;67;2;3;17;0;25;38;2;389;0;1;2;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;71;TURNIÆ;"OŠ ""TURNIÆ""";FRANJE ÈANDEKA 20;966;586;586;571;15;0;2;21;1;0;6;76;2;5;7;9;12;35;4;0;9;0;22;29;2;314;3;1;5;0;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;72;TURNIÆ;PROSTORIJE MO;FRANJE ÈANDEKA 36/B;1.052;608;606;596;10;0;7;15;0;2;4;80;0;4;11;19;10;36;0;1;13;2;9;20;1;353;1;0;3;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;73;TURNIÆ;PROSTORIJE MO;FRANJE ÈANDEKA 36/B;1.096;692;628;617;11;0;5;39;1;0;2;92;2;4;9;9;4;43;1;1;12;0;18;34;0;334;2;1;1;0;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;74;TURNIÆ;PROSTORIJE MO;FRANJE ÈANDEKA 36/B;1.076;633;632;622;10;0;4;23;8;1;1;112;3;6;5;7;15;26;2;1;17;0;14;26;9;335;1;0;2;4;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;75;BULEVARD;PROSTORIJE MO;ŠET. IVANA GORANA KOVAÈIÆA 14;817;559;559;548;11;1;2;7;2;1;1;95;1;3;12;5;23;44;2;0;18;0;26;23;1;277;1;0;0;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;76;BULEVARD;PROSTORIJE MO;ŠET. IVANA GORANA KOVAÈIÆA 14;1.110;755;755;743;12;0;6;21;4;0;4;97;0;2;18;10;17;76;6;0;20;0;35;56;0;359;0;1;3;1;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;77;KRIMEJA;PROSTORIJE MO;KUMIÈIÆEVA 50;853;571;571;562;9;0;5;10;2;0;2;77;2;2;7;6;14;57;1;2;16;1;22;24;0;299;3;0;0;4;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;78;KRIMEJA;PROSTORIJE MO;KUMIÈIÆEVA 50;1.274;786;780;772;8;1;2;17;1;0;0;113;3;4;13;10;12;53;6;0;19;0;25;42;3;438;1;0;3;1;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;79;KRIMEJA;PROSTORIJE MO;KUMIÈIÆEVA 50;779;489;489;480;9;0;2;11;2;1;1;88;2;2;11;0;9;30;2;1;16;0;20;22;2;254;1;0;1;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;80;CENTAR - SUŠAK;PROSTORIJE MO;ŠET. ANDRIJE KAÈIÆA MIOŠIÆA 8/A;738;447;447;440;7;0;5;11;2;0;2;62;1;3;4;8;9;38;1;1;10;0;26;15;1;231;3;0;3;0;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;81;CENTAR - SUŠAK;"OŠ ""CENTAR""";PODHUMSKIH ŽRTAVA 5;1.034;575;575;571;4;2;9;25;4;3;1;99;2;1;11;17;4;35;3;2;14;0;16;19;0;287;4;2;4;4;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;82;PEÆINE;PROSTORIJE MO;JANKA POLIÆ KAMOVA 73/A;509;306;306;304;2;0;1;13;0;0;0;41;2;2;4;2;6;13;0;0;8;0;10;14;0;184;1;0;1;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;83;PEÆINE;PROSTORIJE MO;JANKA POLIÆ KAMOVA 73/A;977;650;650;638;12;0;1;24;0;2;1;106;4;3;9;8;14;49;2;0;18;0;28;24;1;337;1;0;0;0;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;84;PEÆINE;"OŠ ""PEÆINE""";ŠET. XIII. DIVIZIJE 25;920;619;609;604;5;0;3;8;1;0;0;68;2;10;12;7;9;40;1;1;21;0;23;35;7;350;2;0;2;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;85;PODVEŽICA;DOM UÈENIKA;DRAGE GERVAISA 34;1.282;839;838;820;18;0;4;17;7;1;4;122;2;7;24;8;21;65;6;1;11;0;24;42;4;431;5;1;0;3;10;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;86;PODVEŽICA;PROSTORIJE MO;KVATERNIKOVA 58/B;817;557;557;541;16;0;4;20;7;1;1;94;3;2;8;13;13;31;0;0;12;0;18;38;0;269;3;0;1;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;87;PODVEŽICA;PROSTORIJE MO;KVATERNIKOVA 58/B;636;412;412;406;6;0;2;11;12;1;1;55;1;6;10;8;13;22;0;1;6;0;12;27;2;208;2;0;1;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;88;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;891;594;590;578;12;0;3;16;7;0;2;84;0;0;6;9;14;53;6;1;6;1;10;47;0;306;1;0;1;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;89;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;955;626;626;619;7;0;1;25;10;3;0;88;3;6;10;17;21;36;5;1;14;0;26;51;1;287;4;0;6;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;90;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;930;640;640;633;7;0;4;18;7;0;2;112;5;5;20;7;35;44;4;0;8;0;14;42;2;293;0;0;1;4;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;91;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;970;617;617;614;3;0;3;16;3;0;1;99;4;1;21;8;15;57;10;0;16;0;19;44;1;286;1;0;1;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;92;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;987;639;639;628;11;4;1;7;4;0;4;82;4;4;19;8;19;37;10;0;12;0;14;40;1;345;4;0;3;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;93;VOJAK;"OŠ ""VLADIMIRA GORTANA""";PRILAZ VLADIMIRA GORTANA 2;1.338;962;962;949;13;0;7;19;6;0;6;120;4;5;23;11;14;86;6;1;18;0;31;58;8;510;6;0;4;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;94;VOJAK;"OŠ ""VLADIMIRA GORTANA""";PRILAZ VLADIMIRA GORTANA 2;1.318;886;886;869;17;1;4;18;2;4;2;117;8;8;18;9;30;51;5;1;14;1;31;57;1;469;8;0;0;5;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;95;GORNJA VEŽICA;HRVATSKI DOM VEŽICA;ZDRAVKA KUÈIÆA 1;1.288;868;868;863;5;0;2;25;6;1;2;111;2;1;10;12;38;46;3;0;21;2;35;41;1;488;5;0;3;5;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;96;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;1.199;827;827;810;17;1;3;21;8;1;4;151;4;8;23;25;23;40;4;0;10;0;35;46;1;393;2;0;1;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;97;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;1.143;739;739;728;11;0;2;16;7;5;4;95;2;5;18;9;18;52;5;4;10;0;15;42;2;407;0;0;1;6;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;98;GORNJA VEŽICA;"DJEÈJI VRTIÆ ""MORÈIÆ""";BRAÆE STIPÈIÆA 32;1.155;766;765;755;10;0;1;18;5;1;2;118;2;5;14;17;18;46;6;4;16;1;28;46;3;391;4;0;1;2;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;99;GRONJA VEŽICA;"DJEÈJI VRTIÆ ""MORÈIÆ""";BRAÆE STIPÈIÆA 32;1.111;740;740;731;9;0;6;17;8;1;1;72;0;5;25;12;24;58;4;0;13;0;34;45;3;390;4;0;3;4;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;100;DRAGA;HRVATSKI DOM DRAGA;BRIG 24;1.274;798;798;785;13;0;4;28;4;5;2;149;4;16;9;18;37;65;5;1;12;1;14;38;2;366;1;0;0;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;RIJEKA;101;SVETI KUZAM;HRVATSKI DOM SVETI KUZAM;SVETI KUZAM 19;180;108;108;106;2;0;1;4;1;2;1;21;0;2;1;3;3;7;2;1;1;0;3;5;0;46;0;0;0;2;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;1;ROVINJ;DOM KULTURE;TRG M.TITA;862;376;376;371;5;2;0;1;2;0;2;34;2;0;2;4;0;12;3;6;46;0;2;11;9;220;4;1;1;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;2;ROVINJ;ZAVIÈAJNI MUZEJ;TRG M.TITA;858;423;423;422;1;3;4;2;1;0;3;54;0;4;3;3;3;12;2;7;30;0;5;6;4;267;4;0;1;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;3;ROVINJ;OŠ VLADIMIR NAZOR;DE AMICIS 31, ROVINJ;1.020;552;552;546;6;3;2;6;0;1;1;42;1;1;8;6;1;25;5;13;63;0;11;6;4;339;1;0;3;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;4;ROVINJ;STRUKOVNA ŠKOLA EUGENA KUMIÈIÆA;CARDUCCI 13;822;503;503;491;12;2;1;6;0;1;4;37;3;4;3;3;0;9;2;3;54;0;9;12;0;326;4;0;0;2;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;5;ROVINJ;OŠ JURJA DOBRILE;S.PAULETIÆA BB, ROVINJ;988;660;660;643;17;0;1;3;0;3;2;44;4;6;11;3;1;24;11;6;72;0;11;1;2;432;1;0;1;0;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;6;ROVINJ;OŠ JURJA DOBRILE;S.PAULETIÆA BB;1.082;698;698;690;8;2;2;3;1;0;0;50;3;2;11;6;1;30;4;6;63;0;8;5;4;478;1;1;1;2;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;7;ROVINJ;"DJEÈJI VRTIÆ I JASLICE ""NEVEN""";G.PRIVILEGGIO-PASCIA' 2;1.075;713;713;704;9;1;2;4;0;0;2;43;4;1;5;2;1;29;10;5;55;1;11;7;7;504;1;0;1;1;7;;;;;;;;;;;;;;;;;
