Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;VLADIMIR BILEK;IVAN KOMAK
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;025;BELÈIÆI;DOM DVD;BELÈIÆI;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;026;TOPLICE;KUÆA MIJE ZAHERA;TOPLICE 14;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;027;BUKOVAC SVETOJANSKI;KUÆA NIKOLINE CVITANOVIÆ;BUKOVAC SVETOJANSKI 4;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;028;MILADINI;DOM DVD;MILADINI;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;029;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ÐURÐE BRADVIÆ;DRAGA SVETOJANSKA 28;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;030;GORICA SVETOJANSKA;PROSTORIJE MJESNOG ODBORA;GORICA SVETOJANSKA;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;031;IVANÈIÆI;VINARSKI PODRUM;IVANÈIÆI;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;032;KUPEÈ DOL;KUÆA MIROSLAVA PLEÈKA;KUPEÈ DOL 31;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;033;PRODIN DOL;KUÆA ŽELJKA PARILCA;PRODIN DOL 2;0;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;034;GUCI DRAGANIÆKI;DOM DVD;GUCI DRAGANIÆKI;0;0;0;0;0;0;0
