HDZ,,SDP,,BM 365,,KH,,MOST,,IDS,,HSS,,HNS-LD,,Pametno,,Glas,,NHR,,START,,DPMŠ,,Green-Left,,HDSSB,,Centar,,Fokus,,Možemo!,,RF,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2018/06/08,0.3126773051738754,2018/06/07,0.24464949833881552,2018/09/01,0.04441726309525773,2019/04/13,0.13403816592009787,2019/07/12,0.058410882824509514,,,,,2022/10/20,0.01187695251161175,,,,,,,,,2023/07/11,0.09545281740194056,,,,,,,,,2023/12/22,0.11057827402105819,,
2018/06/17,0.3102274417758971,2018/06/14,0.2090480834393957,2018/09/13,0.03952978561629117,2019/04/28,0.10996090844476764,2019/07/26,0.05753628159143126,,,,,2022/11/07,0.02679662060529925,,,,,,,,,2023/08/02,0.08156209193540392,,,,,,,,,2024/01/07,0.086501016545728,,
2018/06/29,0.2943474272302022,2018/06/29,0.22046934660077028,2018/09/27,0.0382436073323526,2019/05/11,0.08979363295261078,2019/08/12,0.0681858377824427,,,,,2022/12/03,0.025278930230251684,,,,,,,,,2023/08/20,0.09751070265624229,,,,,,,,,2024/01/07,0.10563934941073405,,
2018/07/15,0.30515132481528623,2018/07/16,0.20759041471759865,2018/10/09,0.04616646556141418,2019/05/23,0.0752855419097836,2019/08/15,0.05028223607001764,,,,,2023/01/05,0.021008818327575618,,,,,,,,,2023/09/02,0.08156209193540392,,,,,,,,,2024/01/16,0.1128419478007901,,
2018/07/29,0.30332495165209344,2018/07/29,0.21097735086530356,2018/11/12,0.0453433114596935,2019/05/31,0.06370993735433644,2019/08/30,0.060880345129671554,,,,,2023/02/08,0.004159882807980242,,,,,,,,,2023/09/17,0.09329203788492368,,,,,,,,,2024/01/31,0.10193515595299091,,
2018/08/11,0.2944503214929173,2018/08/11,0.17735665052314914,2018/12/13,0.03597993355262069,2019/06/08,0.06873460718358981,2019/09/08,0.05254590984974955,,,,,2023/03/02,0.013934837765913477,,,,,,,,,2023/10/02,0.09240600395598825,,,,,,,,,2024/02/03,0.09648176002909142,,
2018/09/02,0.3159552224003703,2018/09/02,0.21110596869369744,2018/12/29,0.025896295806542236,2019/06/20,0.06756847220615214,2019/09/15,0.06261668581298863,,,,,2023/05/29,0.018979514812916987,,,,,,,,,2023/10/21,0.10419882973272288,,,,,,,,,2024/02/22,0.0976037974653654,,
2018/09/11,0.32737648556174487,2018/09/11,0.19392262682027803,2019/01/13,0.04647514834955946,2019/07/02,0.04338832046810687,2019/09/30,0.06551058695185041,,,,,2023/06/18,0.012905895138762613,,,,,,,,,2023/11/03,0.10529636853501712,,,,,,,,,2024/02/28,0.10701127291360185,,
2018/10/01,0.32274624373956595,2018/09/30,0.208224929337675,2019/01/29,0.025793401543827144,2019/07/12,0.037008876179771555,2019/10/09,0.05851377708722455,,,,,2023/06/30,0.019722640043637052,,,,,,,,,2023/11/21,0.1014206846394155,,,,,,,,,2024/03/02,0.10049463627497973,,
2018/10/12,0.32583307162101854,2018/10/09,0.18363320054876942,2019/02/13,0.04750409097671032,2019/07/24,0.03217284583216251,2019/10/16,0.06633374105357115,,,,,2023/08/02,0.01581265806046378,,,,,,,,,2023/12/03,0.10821170597861118,,,,,,,,,,,,
2018/10/31,0.33334435279921987,2018/10/31,0.2051381014562224,2019/02/25,0.0328931056711681,2019/08/10,0.040815963900229735,2019/11/01,0.06673245632159208,,,,,2023/09/02,0.02311815071323492,,,,,,,,,2023/12/22,0.09915701085968359,,,,,,,,,,,,
2018/11/12,0.3291256880279013,2018/11/12,0.1654209160481992,2019/03/13,0.05254590984974955,2019/08/15,0.058205094299079274,2019/11/12,0.06795432569133375,,,,,2023/09/17,0.016893047818972162,,,,,,,,,2024/01/07,0.09717915447638253,,,,,,,,,,,,
2018/12/13,0.32192308963784527,2018/12/13,0.16449486768376337,2019/03/22,0.03927254995950347,2019/09/18,0.045240417196978466,2019/11/09,0.06448164432469955,,,,,2023/10/08,0.01895093307327389,,,,,,,,,2024/01/16,0.1073885518768905,,,,,,,,,,,,
2018/12/30,0.3410099753714938,2018/12/29,0.19001264483710475,2019/03/28,0.03217284583216251,2019/10/09,0.05532405494305692,2019/11/28,0.07435949354534788,,,,,2023/11/09,0.019722640043637052,,,,,,,,,2024/01/16,0.09998016496140433,,,,,,,,,,,,
2019/01/13,0.31616101092580046,2019/01/13,0.15852700044628837,2019/04/13,0.0418449065273806,2019/10/14,0.03965840344468502,2019/12/10,0.042359377840956,,,,,2023/12/05,0.01895093307327389,,,,,,,,,2024/01/31,0.10646250351245473,,,,,,,,,,,,
2019/01/29,0.3270678027735996,2019/01/29,0.18322162349790905,2019/04/28,0.036391510603481,2019/10/31,0.03659729912891119,2020/01/01,0.06777426073158233,,,,,,,,,,,,,,,2024/02/03,0.08691259359658837,,,,,,,,,,,,
2019/02/14,0.3060259260483644,2019/02/13,0.14885493975107028,2019/05/12,0.03528539727929386,2019/11/09,0.0453433114596935,2020/01/07,0.05007644754458751,,,,,,,,,,,,,,,2024/02/19,0.09318914362220859,,,,,,,,,,,,
2019/02/25,0.3210999355361246,2019/02/19,0.21223780558356337,2019/05/24,0.020972070376605978,2019/11/09,0.03721466470520174,2020/01/13,0.0358770392899056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/24,0.30782657564587845,2019/02/25,0.19556893502371941,2019/06/03,0.02409564620902821,2019/12/10,0.053266169688755194,2020/01/26,0.06005719102795082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/03/11,0.31914494454453796,2019/03/10,0.1905271161506802,2019/06/09,0.010719392056067034,2020/01/01,0.046783831137704734,2020/02/05,0.04698961966313492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/03/13,0.3034021223491298,2019/03/13,0.15862989470900346,2019/06/17,0.02812567149870243,2019/12/30,0.02705385626208695,2020/02/14,0.04819005272814425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/03/28,0.3213057240615548,2019/03/28,0.1947457809219987,2019/06/20,0.042359377840956,2020/01/10,0.021574736772508596,2020/02/26,0.056558786095637914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/04/10,0.3116336633663367,2019/04/10,0.20184548504933966,2019/06/28,0.02190914312633263,2020/01/12,0.045960677035984054,2020/03/03,0.03772913601877714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/04/13,0.2840580009586936,2019/04/13,0.14936941106464569,2019/07/10,0.043259702639713016,2020/01/23,0.02534752640539506,2020/03/09,0.05048802459544782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/04/28,0.30751789285773323,2019/04/28,0.19680366617630043,2019/07/26,0.024352881865815912,2020/02/04,0.0269252384336931,2020/03/09,0.045446205722408595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/05/12,0.30679763301872764,2019/05/11,0.20482941866807716,2019/08/12,0.04637225408684437,2020/02/10,0.01931106299277674,2020/03/25,0.04574018933016599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/05/23,0.25092604836443577,2019/05/23,0.22427643432122848,2019/08/30,0.02486735317939137,2020/02/26,0.012348551215722536,2020/04/06,0.04822435081571591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/05/29,0.30062397725582246,2019/05/29,0.23240508107572025,2019/09/18,0.04884171639200646,2020/02/29,0.020751582670787916,2020/04/12,0.057999305773649146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
