Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FURIO RADIN
012;XII. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;003;BIOGRAD NA MORU;SREDNJA ŠKOLA BIOGRAD, UÈIONICA BROJ 4;AUGUSTA ŠENOE 29, BIOGRAD NA MORU;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;004;BIOGRAD NA MORU;OSNOVNA ŠKOLA BIOGRAD, UÈIONICA U PRIZEMLJU;DR. FRANJE TUÐMANA 27, BIOGRAD NA MORU;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BIOGRAD NA MORU;005;BIOGRAD NA MORU;DJEÈJI VRTIÆ BIOGRAD, PODRUÈNO ODJELJENJE KOSA-ZAPAD;PAŠKA 1, BIOGRAD NA MORU;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 17;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;BJELOVAR;II. OSNOVNA ŠKOLA;I. V. TRNSKOG 19;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;BJELOVAR;VELEUÈILIŠTE U BJELOVARU I;TRG EUGENA KVATERNIKA 4;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;BJELOVAR;II O.Š. PODRUÈNA ŠKOLA CENTAR;PETRA ZRINSKOG 4;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;005;BJELOVAR;VELEUÈILIŠTE U BJELOVARU II;A. B. ŠIMIÆA 1;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;006;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIÆ"" DJEÈJI ODJEL";ŠETALIŠTE DR. IVŠE LEBOVIÆA 9;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;007;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIÆ""";TRG E. KVATERNIKA 11;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;008;BJELOVAR;I. OSNOVNA ŠKOLA;ŽELJKA SABOLA 14;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;009;BJELOVAR;MO DR. A. STARÈEVIÆA;A. STEPINCA 20A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;010;BJELOVAR;DJEÈJI VRTIÆ;ULICA ALOJZIJA STEPINCA 36;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;011;BJELOVAR;IV OSNOVNA ŠKOLA I;POLJANA DR. FRANJE TUÐMANA 1;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;012;BJELOVAR;III OSNOVNA ŠKOLA;TOME BAKAÈA 11D;0;0;0;0;0;0
