date,ZZ,SKORO,GL,Pametno,SDP,HNS,HDZ,HSLS,Most,BM365
2017-06-01,7.61,,,2.34,25.41,3.15,36.75,,8.81,2.47
2017-06-02,7.57,,,2.32,25.44,3.15,36.78,,8.75,2.43
2017-06-03,7.54,,,2.31,25.46,3.14,36.81,,8.69,2.39
2017-06-04,7.5,,,2.29,25.48,3.14,36.84,,8.63,2.36
2017-06-05,7.46,,,2.28,25.5,3.14,36.87,,8.57,2.32
2017-06-06,7.43,,,2.26,25.52,3.14,36.9,,8.52,2.28
2017-06-07,7.43,,,2.26,25.51,3.12,36.91,,8.49,2.33
2017-06-08,7.44,,,2.25,25.49,3.1,36.93,,8.46,2.37
2017-06-09,7.44,,,2.25,25.48,3.08,36.94,,8.42,2.41
2017-06-10,7.44,,,2.24,25.46,3.05,36.96,,8.39,2.46
2017-06-11,7.45,,,2.23,25.44,3.03,36.98,,8.36,2.5
2017-06-12,7.45,,,2.23,25.43,3.01,36.99,,8.33,2.55
2017-06-13,7.46,,,2.22,25.41,2.99,37.01,,8.3,2.59
2017-06-14,7.46,,,2.21,25.4,2.96,37.02,,8.27,2.64
2017-06-15,7.46,,,2.21,25.38,2.94,37.04,,8.24,2.68
2017-06-16,7.47,,,2.2,25.37,2.92,37.06,,8.21,2.73
2017-06-17,7.47,,,2.19,25.35,2.9,37.07,,8.18,2.77
2017-06-18,7.47,,,2.19,25.34,2.87,37.09,,8.15,2.81
2017-06-19,7.48,,,2.18,25.32,2.85,37.1,,8.12,2.86
2017-06-20,7.48,,,2.17,25.3,2.83,37.12,,8.09,2.9
2017-06-21,7.49,,,2.17,25.29,2.81,37.14,,8.06,2.95
2017-06-22,7.49,,,2.16,25.27,2.79,37.15,,8.03,2.99
2017-06-23,7.49,,,2.15,25.26,2.76,37.17,,7.99,3.04
2017-06-24,7.5,,,2.15,25.24,2.74,37.18,,7.96,3.08
2017-06-25,7.5,,,2.14,25.23,2.72,37.2,,7.93,3.12
2017-06-26,7.51,,,2.14,25.21,2.7,37.21,,7.9,3.17
2017-06-27,7.49,,,2.13,25.23,2.69,37.23,,7.87,3.14
2017-06-28,7.48,,,2.12,25.24,2.69,37.25,,7.84,3.12
2017-06-29,7.47,,,2.11,25.26,2.69,37.26,,7.81,3.1
2017-06-30,7.46,,,2.11,25.27,2.68,37.28,,7.78,3.07
2017-07-01,7.45,,,2.1,25.29,2.68,37.29,,7.75,3.05
2017-07-02,7.43,,,2.09,25.3,2.67,37.31,,7.72,3.02
2017-07-03,7.42,,,2.08,25.32,2.67,37.32,,7.69,3
2017-07-04,7.41,,,2.08,25.33,2.67,37.34,,7.65,2.97
2017-07-05,7.4,,,2.07,25.35,2.66,37.36,,7.62,2.95
2017-07-06,7.42,,,2.05,25.34,2.64,37.35,,7.62,3
2017-07-07,7.44,,,2.03,25.33,2.62,37.35,,7.61,3.05
2017-07-08,7.46,,,2.02,25.31,2.6,37.35,,7.61,3.1
2017-07-09,7.48,,,2,25.3,2.58,37.35,,7.6,3.15
2017-07-10,7.5,,,1.98,25.29,2.55,37.35,,7.6,3.2
2017-07-11,7.52,,,1.96,25.28,2.53,37.35,,7.59,3.25
2017-07-12,7.54,,,1.94,25.27,2.51,37.35,,7.59,3.3
2017-07-13,7.56,,,1.93,25.26,2.49,37.34,,7.58,3.35
2017-07-14,7.58,,,1.91,25.25,2.47,37.34,,7.57,3.4
2017-07-15,7.61,,,1.89,25.24,2.44,37.34,,7.57,3.45
2017-07-16,7.63,,,1.87,25.23,2.42,37.34,,7.56,3.5
2017-07-17,7.65,,,1.85,25.22,2.4,37.34,,7.56,3.55
2017-07-18,7.67,,,1.83,25.21,2.38,37.34,,7.55,3.6
2017-07-19,7.69,,,1.82,25.2,2.35,37.33,,7.55,3.65
2017-07-20,7.71,,,1.8,25.19,2.33,37.33,,7.54,3.7
2017-07-21,7.73,,,1.78,25.18,2.31,37.33,,7.54,3.75
2017-07-22,7.75,,,1.76,25.17,2.29,37.33,,7.53,3.8
2017-07-23,7.77,,,1.74,25.16,2.27,37.33,,7.52,3.84
2017-07-24,7.79,,,1.73,25.15,2.24,37.33,,7.52,3.89
2017-07-25,7.81,,,1.71,25.13,2.22,37.32,,7.51,3.94
2017-07-26,7.81,,,1.68,25.13,2.22,37.33,,7.55,3.9
2017-07-27,7.8,,,1.65,25.13,2.23,37.33,,7.58,3.86
2017-07-28,7.79,,,1.62,25.13,2.23,37.34,,7.62,3.81
2017-07-29,7.79,,,1.59,25.13,2.23,37.34,,7.66,3.77
2017-07-30,7.78,,,1.56,25.13,2.23,37.35,,7.69,3.73
2017-07-31,7.78,,,1.53,25.13,2.23,37.35,,7.73,3.68
2017-08-01,7.77,,,1.5,25.13,2.23,37.35,,7.76,3.64
